name,price,rpm,noise_level,color,size
Noctua NH-U12A,119.95,"450,2000","18.8,22.6",Brown,
Lian Li HydroShift LCD 360TL RGB,259.9,"200,2600",33,Black,360
Thermalright Peerless Assassin,36.9,1550,25.6,Gray,
Cooler Master Hyper 212 Halo,38.96,"650,2050",27,White,
Thermalright AXP90-X47,22.9,2700,22.4,White,
Noctua NH-L9i,44.95,"600,2500","14.8,23.6",Brown,
Corsair iCUE H100i ELITE CAPELLIX XT,179.99,"550,2100","5,34.1",White,240
Lian Li Galahad II Trinity,119,2450,35.4,White,360
Thermalright Peerless Assassin 140,42.9,1500,25.6,Black,
ID-COOLING FROSTFLOW X,54.99,"700,1800","18,35.2",,240
ID-COOLING FROZN A620 PRO SE,29.99,"300,2000",27.2,Black,
Thermalright Assassin X 90 SE ARGB,18.89,2200,23.85,Black / Silver,
Noctua NH-D15 G2 LBC,149.94,1500,24.8,Brown / Silver,
Deepcool AG400,,"500,2000",31.6,Black / Silver,
Thermalright Frozen Prism ARGB,60.9,1850,27,White,360
be quiet! Dark Rock 5,69.9,2100,"11.9,29.8",Black,
Corsair iCUE H150i ELITE LCD XT,259.95,"550,2100","5,31.1",White / Gray,360
ARCTIC Freezer 34 eSports DUO,42.94,"200,2100",24.4,White / Black,
ARCTIC Liquid Freezer II 420,139.99,"200,1700",,Black,420
Corsair iCUE H170i ELITE CAPELLIX,289.74,2000,"10,37",Black,420
Asus ProArt LC 420,252.99,"800,2000",31.5,Black,420
Thermalright Aqua Elite V3,70.9,1500,25.6,White,360
be quiet! Pure Rock 2,37.99,1500,"19.1,26.8",Silver / Black,
Corsair H150,,1500,"18,26.5",Black,360
Thermalright Assassin Spirit 120 EVO WHITE ARGB,21.9,1850,27,White,
Lian Li Hydroshift LCD 360S,168.44,"200,2500",29.8,Black,360
Deepcool AK620,,"500,1850",28,White,
Thermalright AXP90-X47,20.9,2700,22.4,Gray,
Cooler Master MasterLiquid 240L Core ARGB,76.62,"350,1750",27.2,White,240
be quiet! Dark Rock Elite,99.9,"1500,2000","11,25.8",Black,
NZXT Kraken Z73 RGB,408.55,"500,1500","22,33",White / Black,360
Thermalright Peerless Assassin 120 SE,47.9,1550,25.6,Black,
NZXT Kraken Elite 280 RGB,265,"500,1500",34.48,White,280
NZXT Kraken X63,249.99,"500,2000","21,38",Black,280
Noctua NH-D9L,64.95,"400,2000","16.3,22.8",,
Thermalright Assassin X 120 PLUS V2,24.79,1500,25.6,Black / Silver,
NZXT Kraken X53,259,"500,2000","21,36",Black,240
Asus TUF Gaming LC II ARGB,142.99,"800,2000",29,Black,360
Noctua NH-U12S,74.95,"300,1500","18.6,22.4",,
Thermaltake UX200 SE ARGB,24.99,"800,1800",25,Black,
Deepcool ASSASSIN IV,,"500,1700","22.6,29.3",Black,
ARCTIC Alpine 23 CO,12.99,"100,2000",,Black,
ARCTIC Liquid Freezer III 280 A-RGB,98.55,"200,1900",,Black,280
Deepcool LE720,,"500,2250",32.9,Black,360
Deepcool AK400 ZERO DARK,,"500,1850",29,Black,
Asus ROG STRIX LC II ARGB,176.55,"800,2500",37.6,Black,360
Corsair iCUE LINK H150i RGB,239.99,"480,2400",,Black,360
Thermalright Peerless Assassin 140,39.9,1500,25.6,White,
Noctua NH-L9x65,59.95,"600,2500","14.8,23.6",,
Noctua NH-L9a-AM4 chromax.black,54.95,"600,2500","14.8,23.6",Black,
Montech HyperFlow ARGB 360,99.9,2200,29.1,White,360
HYTE THICC Q60,291.5,,"10,47.3",White / Black,280
ARCTIC Freezer 36 A-RGB,33.86,"200,2000",,White,
Corsair iCUE LINK TITAN360 RX RGB,199.99,"300,2100",,Black,360
EK EK-Nucleus AIO CR360 Lux D-RGB,159.99,"550,2300",36,Black,360
ID-COOLING FROSTFLOW X,59.99,"800,1600","16.8,32.6",Black / Silver,280
NZXT Kraken Elite 240 RGB,225.99,"500,1800","17.9,30.6",Black,240
Corsair iCUE H150i ELITE LCD,409.62,"450,2000","10,30.4",Black,360
Lian Li HydroShift LCD 360R RGB,199.9,"300,2400",30,White,360
Corsair H100i v2,245,2435,37.7,,240
Thermalright Aqua Elite V3,36.9,1500,25.6,Black,120
NZXT Kraken Z73 RGB,,"500,1500","22,33",Black,360
Cooler Master MasterLiquid 240L Core,95.79,"650,1750",27.2,Black,240
MSI MAG CORELIQUID P240,75.98,"500,2000","14.3,34.3",Black,240
Deepcool LS720 SE WH,,"500,2250","28.2,32.9",White,360
Thermalright Frozen Infinity 360 ARGB,84.9,2000,28.2,Black,360
ARCTIC Liquid Freezer II 360,,"800,2000",,Black,360
Cooler Master MasterLiquid 360 Atmos,134.99,"690,2500",27.2,Black,360
MSI MAG CORELIQUID E360,126.49,,,Black,360
be quiet! Pure Rock LP,49.9,2500,,Black,
ARCTIC Freezer 7 X,22.99,"300,2000",22.5,Black / White,
Deepcool MYSTIQUE 360,,"500,2150",36.49,Black,360
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,159.84,"800,1900",32,Black / Silver,360
Thermalright Frozen Prism ARGB,47.9,1850,27,White,240
ID-COOLING IS-47-XT,29.99,"800,2800",32.5,Black,
Lian Li Hydroshift LCD 360S,179.9,"200,2500",29.8,White,360
Noctua NH-L9i-17xx,44.95,"600,2500","14.8,23.6",Brown / Beige,
Noctua NH-D12L CHROMAX.BLACK,99.9,"450,2000","18.8,22.6",Black,
Asus ROG Ryujin III,276.86,"450,2000",29.7,Black,360
Deepcool LT720 WH,,"500,2250",32.9,White,360
Noctua NH-D12L,89.95,"450,2000","18.8,22.6",Beige / Brown,
Thermalright Frozen Edge,,2150,28.1,Black,360
Corsair iCUE H100i ELITE LCD XT,259.99,"550,2100","5,34.1",Black,240
Asus ROG STRIX LC 360 RGB White Edition,411,"800,2500",37.6,White,360
Thermaltake TH360 V2 ARGB Sync,120.99,"500,2000",25.8,Black,360
Corsair H100,,1500,"18,26.5",Black,240
Thermalright Assassin X Refined SE,21.69,1550,25.6,White / Silver,
Vetroo V240,59.99,"800,1800",30.8,Black,240
Deepcool AK400,,"500,1850",29,White,
ARCTIC Liquid Freezer II 280 A-RGB,106.99,"200,1900",22.5,Black,280
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,Black,360
Lian Li Galahad II Trinity,168.89,2450,35.4,Black,240
Thermalright Frozen Infinity 360 ARGB,80.9,2000,28.2,White,360
Asus ROG STRIX LC II ARGB,154.99,"800,2500",37.6,White / Black,360
NZXT Kraken Z63,229.99,"500,1800","21,38",Black,280
Deepcool AK500 ZERO DARK,,"500,1850","25.9,31.5",Black,
Thermalright Peerless Assassin 90 SE,25.9,2200,23.85,Black,
Corsair iCUE H100i ELITE CAPELLIX,199.99,2400,"10,37",Black,240
Thermalright Assassin King 120 MINI V2,18.98,1500,25.6,Black / Silver,
Corsair iCUE LINK TITAN 360 RX RGB,199.99,"300,2100",,White,360
Cooler Master Hyper 212 RGB Black Edition,89.85,"650,2000","8,30",Black,
Corsair iCUE H150i RGB ELITE,189.99,"400,1850","5,28.9",White,360
Noctua NH-D15S,99.95,"300,1500","19.2,24.6",,
ARCTIC Liquid Freezer II 240,,"200,1800",,Black,240
Phanteks Glacier One 360MPH,330,"500,2200","18,34.2",White,360
Thermalright Aqua Elite ARGB V2,,2000,28.2,,360
Thermalright AXP90-X36,21.9,2700,22.4,Gray,
Cooler Master MasterLiquid ML360L ARGB V2,99.99,"650,1800","8,27",White,360
Deepcool GAMMAXX AG400 ARGB,,"500,2000",31.6,White,
be quiet! Silent Loop 2 360,180.47,2200,"17.7,39.8",Black,360
Thermaltake Gravity i2,12.78,1800,21.3,,
Thermalright Frozen Prism,45.9,1850,27,Black,240
Corsair iCUE H115i ELITE CAPELLIX XT,171.11,"500,1700","5,33.8",Black,280
ARCTIC Liquid Freezer III 420 A-RGB,119.34,"200,1900",,White,420
Scythe Mugen 5 Rev. B,,"300,1200","4,24.9",Silver / Black,
Deepcool LT520,,"500,2250",32.9,Black / Gray,240
Fractal Design Lumen S24 RGB V2,127.98,"500,2000","10,33.2",Black,240
Corsair A115,99.99,"400,1600","5,33.9",Black,
Cooler Master MasterLiquid 240 Atmos,119.99,"690,2500",27.2,Black,240
be quiet! Pure Loop 2 FX,94,,"8,32.3",Black,240
Deepcool AG200,,"500,3050",30.5,Black / Silver,
Noctua NH-U14S,79.95,"300,1500","19.2,24.6",,
Lian Li Galahad II Trinity,143.74,2450,35.4,Black,360
Deepcool LS520 SE,,"500,2250","28.2,32.9",Black,240
MSI MAG CORELIQUID M360,122.9,"500,2000","14.3,34.3",Black,360
MSI MEG CORELIQUID S360,223.99,,22.7,Black,360
Cooler Master MasterLiquid 120L Core,68.98,"650,1750",27.2,Black,120
Noctua NH-P1,109.9,,0,Silver,
Gigabyte AORUS WATERFORCE X,209.99,"800,2500","7.9,37.6",Black,360
Deepcool AK400 ZERO DARK PLUS,,"500,1650",28,Black,
Corsair iCUE LINK H100i RGB,153.12,"480,2400",,White,240
Corsair H100i RGB PLATINUM,,2400,37,Black / Silver,240
ARCTIC Liquid Freezer III 280 A-RGB,153.08,"200,1900",,White,280
Thermalright AXP120-X67,32.9,1800,26.1,Black,
ARCTIC Freezer 36 CO,27.71,"200,1800",,Black / Silver,
Thermalright Assassin X Refined SE ARGB V2,18.98,1550,25.6,Black / Silver,
Deepcool LS720,,"500,2250",32.9,Black,360
Corsair iCUE LINK H170i LCD,229,"400,2000",,Black,420
Thermalright Peerless Assassin MINI,,1500,25.6,Black,
Asus ROG RYUO III 360 ARGB,199.99,2200,36.45,Black,360
MSI MAG CORELIQUID C240,69.99,"500,2000","14.3,34.3",Black,240
Lian Li HydroShift LCD 360R RGB,199.9,"300,2400",30,Black,360
Deepcool LE520,,"500,2250",32.9,Black,240
Thermaltake UX100,33.44,1800,26.92,Black,
ARCTIC Freezer 34 eSports DUO,49.98,"200,2100",24.4,White / Gray,
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,White,360
ID-COOLING FROZN A620 BLACK,49.99,"500,2000",29.85,Black,
MSI MAG CORELIQUID E360 WHITE,132.19,,,White,360
MSI MAG CORELIQUID C360,119.99,"500,2000","14.3,34.3",Black,360
be quiet! Dark Rock Slim,59.9,1500,"11,23.6",Black,
Thermalright Assassin Spirit V2 Plus,,1500,25.6,Gray,
Corsair iCUE LINK H150i RGB,249,"480,2400",,White,360
ARCTIC Liquid Freezer II 280,101.99,"200,1700",,Black,280
ARCTIC Alpine 17 CO,12.99,"250,2700",,Black,
ARCTIC Freezer 34 eSports DUO,49.99,"200,2100",24.4,Black / Gray,
Deepcool AK620 DIGITAL WH,,"500,1850",28,White,
NZXT Kraken 280 RGB,185.99,"500,1500",34.48,White,280
Vetroo V5,27.99,"800,1700",30.8,White,
Gigabyte AORUS WATERFORCE II 360 ICE,145.99,"800,2300","12.8,36.9",White,360
Thermalright AXP90-X53 FULL,,2700,22.4,Copper / Orange,
ARCTIC Alpine 17,11.99,"100,2000",,Black / White,
Corsair iCUE LINK H100i RGB,149.99,"480,2400",,Black,240
Asus ROG STRIX LC II,127.84,"800,2500",37.6,Black,360
Thermalright Burst Assassin ARGB,23.59,1550,25.6,Black / Silver,
ID-COOLING FROZN A400 BLACK,24.99,"500,2200",25.8,Black,
Thermaltake UX200 SE ARGB,24.99,"800,1800",25,White,
Thermalright AXP90-X53,21.9,2700,22.4,Gray,
NZXT T120,44.99,"500,1800","17.9,30.6",Black,
Noctua NH-L12Sx77,74.9,"450,1850","16.8,23.9",Silver / Beige,
Gigabyte AORUS WATERFORCE X II 360 ICE,259.99,"800,2400","12,37.5",White,360
Deepcool LS720S ZERO DARK,,"500,2250","28.2,32.9",Black,360
ID-COOLING DASHFLOW 240 BASIC,69.98,"700,1800","15.2,35.2",Black,240
Asus ROG STRIX LC II ARGB,119.99,"800,2500",37.6,Black,240
Lian Li HydroShift LCD 360TL RGB,,"200,2600",33,White,360
Noctua NH-D9L chromax.black,74.9,"400,2000","16.3,22.8",Black,
Cooler Master MasterLiquid ML360L ARGB V2,113.62,"650,1800","8,27",Black,360
Thermalright Assassin X 90 SE,16.9,2400,27.3,Black / Silver,
APNX AP1-V,29.99,"600,1800","16.1,32.8",Black,
Lian Li Galahad II Trinity SL-INF,124.99,2100,29,White,240
Thermalright Peerless Assassin 120 White ARGB,50.79,1550,25.6,White,
NZXT Kraken X73,309.35,"500,2000","21,36",Black,360
SAMA SM360 LCD,119.99,"800,1800",35.5,White,360
ID-COOLING SE-224-XTS BLACK,29.99,"600,1500",28.9,Black,
Corsair iCUE H100i RGB PRO XT,165.99,2400,37,Black,240
NZXT Kraken Elite 280 RGB,227.4,"500,1500",34.48,Black,280
Enermax Liqmax III 240 ARGB,49.99,"500,1600","14,27",Black,240
RAIJINTEK AIDOS BLACK,,"1000,2200",28.87,,
Cooler Master MASTERLIQUID ML120L RGB V2,,"650,1800","6,27",Black,120
Cooler Master Hyper 212 EVO V2,113.99,"650,1800","8,27",Black / Silver,
Thermalright AXP120-X67,30.69,1800,26.1,Gray,
EK EK-Nucleus AIO CR360 Lux D-RGB,164.5,"550,2300",36,White,360
Cooler Master I30,12.99,2600,28,Black / Silver,
SAMA SM360 LCD,119.99,"800,1800",35.5,Black,360
ARCTIC Alpine 64 PLUS,,"600,2000",,,
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"650,1800","8,27",Black,240
ENDORFY Fera 5,,"250,1800",,Black / Silver,
ID-COOLING FROZN A410 DK,34.99,"500,2000",29.85,Black,
Thermalright Peerless Assassin 90 SE,25.9,2200,23.85,White / Silver,
ID-COOLING DASHFLOW BASIC,84.99,"700,1800","15.2,35.2",White,360
Asus ROG RYUJIN II ARGB,479.99,,,Black,360
ARCTIC Liquid Freezer II 240 A-RGB,102.95,"200,1800",22.5,Black / Gray,240
ARCTIC Alpine AM4,11.84,"100,2000",,Black / White,
Asus ROG RYUO III 360 ARGB WHITE EDITION,195.72,2200,36.45,White,360
Cooler Master Hyper 620S,49.99,"350,1750",27.2,Black / Silver,
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,Black,
be quiet! Shadow Rock 3,46.9,1600,"11.5,24.4",Black,
ID-COOLING IS-67-XT,39.99,"500,2200",35.2,Black,
Thermalright Assassin X Refined SE PLUS,25.39,1550,25.6,Black / Silver,
be quiet! Pure Loop 2,114.9,,"17.2,36.8",Black,360
Vetroo V240,59.99,"800,1800",30.8,White / Gray,240
Lian Li Galahad II LCD,185.79,"300,1550",26.7,White,280
Scythe Mugen 6,39.99,"300,2000","3,26.88",Black,
Scythe Mugen 6 Dual Fan,54.99,"300,2000","3,26.88",Black,
Deepcool LD360,,"600,2400",38.71,Black,360
Corsair iCUE H100i RGB ELITE,148,"400,1850","5,28.9",White,240
Cooler Master MasterLiquid ML360 Illusion,130,"650,1800","6,30",Black / Silver,360
Corsair iCUE H170i ELITE CAPELLIX XT,206.99,"500,1700","5,33.8",Black,420
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,119.9,"800,1900",32,Black / Silver,240
Corsair iCUE LINK H100i LCD,189.95,"480,2400",,Black,240
Gigabyte AORUS WATERFORCE X II 360,249.99,"800,2400","12,37.5",Black,360
ARCTIC Freezer 7 X CO,24.71,"300,2000",,Black / Silver,
Thermaltake TH240 V2 ARGB Sync,79.98,"500,2000",25.8,Black,240
ARCTIC Alpine 23,11.98,"100,2000",,White / Black,
Thermalright AXP120-X67,29.9,1800,26.1,White,
Corsair H60 (2018),,1700,28.3,Black,120
Thermalright Assassin King SE,19.89,1550,25.6,Silver / Gray,
