name,price,rpm,noise_level,color,size
Gelid Solutions Glacier,19.95,"500,1600",35,White,
be quiet! Silent Loop 2 120,143.03,2200,"16.6,36.4",Black,120
ID-COOLING ZOOMFLOW 240 XT,,"500,1500","13.8,30.5",Black,240
Zalman CNPS4X,,"800,2000",29,Black,
KOLINK Umbra Void,157.77,2200,30,Black,240
NZXT Kraken X62 Rev 2,,"500,1800","21,38",,280
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,"500,2000",22.6,Black,360
Thermalright Frost Spirit 140 V3 ARGB,,1500,25.6,White,
Cooler Master I70,,1800,28,Black / Silver,
Antec Symphony ARGB,240.74,"800,1600","20,35",Black,240
Thermalright Frost Spirit 140 V3 WHITE,,1500,25.6,White,
Phanteks PH-TC12ST4_DBK01,27.99,"400,2000",35.7,,
Thermaltake TH420 V2 ARGB Sync,146.81,"500,1800",34.7,White,420
ARCTIC Alpine 12,,"100,2000",,Black / White,
Cooler Master Hyper 212 LED,69.98,"600,1600","9,31",,
Yeston zeaginal Sakura,,"900,1800",30,White,360
BitFenix Cube ARGB,69.9,2000,34,Black,240
ARCTIC Freezer A13 X,30.87,"300,2000",,Black / White,
ARCTIC Freezer 7 Pro Rev.2,,"900,2500",,,
Phanteks Glacier One 240MPH,190.32,"500,2200","18,34.2",White / Black,240
Iceberg Thermal IceSLEET G4 Silent,19.99,"600,1200",20.5,Black / Gray,
Dynatron R24,47.95,"1500,7000","16,47.5",,
Cooler Master Hyper 212X,,"600,2000","9,36",,
Scythe Ninja 5,,"300,800","4,14.5",Black,
MSI MPG CORELIQUID K240,168,,"0,39.9",Black,240
Cooler Master MasterLiquid 240,,"650,2000","6,30",,240
Xilence I250PWM,30.56,"800,2500","17.6,26.4",Red / Black,
ID-COOLING PINKFLOW 240 V2,,"900,2000","16.3,33.5",Pink,240
Enermax LIQMAX III 240 ARGB,39.99,"500,1600","14,27",White / Black,240
Cooler Master MasterLiquid 360L Core SF6 Chun-Li,,"650,1750",27.2,White / Yellow,360
be quiet! Dark Rock 3,,"400,1400","8.4,21.1",,
Silverstone AR12 RGB,31.99,"700,2200","9,29",Silver / Black,
Montech AIR COOLER 210,129,"600,1500",27,Black,
Thermaltake Water 3.0 360 ARGB Sync Edition,,"500,1500",25.8,Black,360
EK AIO Elite 280 D-RGB,87.99,"550,2200",36.4,Black,280
Geometric Future Eskimo Junior 36,139.9,2000,29,White,360
Iceberg Thermal IceFLOE OASIS 240,74.98,"200,2200",28.9,Black,240
Jonsbo CR-1000 EVO ARGB White,,"600,1500","22,32",White,
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,120
Corsair H80i GT,415.32,2435,37.7,,120
Noctua NH-L12,,"1200,1600","13.1,22.4",,
ARCTIC Freezer 34,,"200,1800",,Black / Silver,
Thermaltake Water 3.0 240 ARGB Sync,,"500,1500",25.8,Black,240
Iceberg Thermal IceSLEET G6 Stealth,44.99,"600,1400",26,Black / Blue,
Thermaltake UX 210 ARGB,54.98,"600,2000",34.3,Black / Silver,
iBuypower AW4,99.99,"700,2000",38,White,360
Cooler Master i70C,21.99,"650,1800",28,Black / Silver,
Silverstone Krypton KR02,30.9,"800,2800","13.6,34.8",Black / Silver,
Antec A40PRO,29.86,"800,2200","16,23",,
Valkyrie SYN,,"800,2150",29,White / Blue,360
Antec A30,,1750,20,,
Scythe Shuriken 2,,"300,2500","1.8,23.2",Black / Silver,
Corsair iCUE H60i RGB PRO XT,,2400,"10,37",Black,120
NZXT Kraken Elite RGB (2024),,"500,2000",34.5,White,280
Enermax ETS-F40-FS,34.99,"300,1200","10,23",Black,
Silverstone IceMyst 240,109.99,"500,2200","12.1,33.1",Silver / Black,240
ARCTIC Freezer i35,34.99,"200,1800",,Black / White,
Thermaltake Water 3.0 120 ARGB Sync,,"500,1500",25.8,Black,120
SilentiumPC Fera 5,,"300,1800",,Black / Silver,
Alphacool Core Ocean T38,80.75,,"0,36",Black,280
Enermax LIQMAXFLO SR 240,54.99,"500,1800",23.46,Black,240
GAMDIAS BOREAS E1,29.99,"800,2000","10,31",Black / Silver,
Cooler Master MasterAir MA620M,150.9,"650,2000","8,30",Black,
CRYORIG C7 Cu,189,"600,2500",30,White / Orange,
Jonsbo HX4170D,104.99,"600,3300",28.4,Black,
LC-Power LC-CC-120-RGB,,"800,1800",,Black,
Thermaltake TH120 ARGB Sync,79.98,1500,28.2,White,120
Silverstone VIDA 240 SLIM,128.99,"300,1800","15.9,33.9",Black,240
Xilence A402,,"600,2200","14,23.8",Red / Black,
Deepcool GAMMAXX 400 EX,,"500,1500",27.6,Black,
CRYORIG H7 Quad Lumi,,"330,1600","10,25",,
Jonsbo HX7280,166.99,"700,1800","28,38",Black,
Thermaltake TOUGHAIR 110,29.99,"500,2000",23.6,Black / Silver,
Xilence I350PWM,,"800,2500","17.6,26.4",Red / Black,
be quiet! Light Loop,134.99,"1500,2900","15.4,34.9",White,240
Thermaltake TH120 ARGB Sync,59.99,1500,28.2,Black,120
Thermalright Silver Soul 135,,1850,29.6,White,
EVGA CLC 240,219,"500,2400","16,39.9",,240
Deepcool CASTLE 240EX A-RGB,,"500,1800",30,White / Black,240
Deepcool GAMMAXX L240 A-RGB,,"500,1800",30,Black,240
ID-COOLING FX240ARGB,,"500,1800",35.2,Black,240
Alphacool Core Ocean T38,56,,"0,34.3",Black,120
Cooler Master Hyper 212 LED Turbo (Red),58.5,"300,1600","9,31",,
Phanteks GLACIER ONE 240D30,,"250,2000",30.2,Black,240
Enermax LIQMAXFLO SR 360,69.98,"500,1800",23.46,Black,360
Thermalright AXP90-X36,,2700,22.4,Black,
KOLINK Umbra EX180,,"800,1800",28.6,Black,
TRYX PANORAMA,339.99,"500,2250",30.97,White,360
Intel BXXTS100H,,"800,1800","20,35",,
Thermalright Frost Commander 140,,1800,30.2,White,
darkFlash Darkair,,"800,1600",,Black,
Jonsbo CR-1400,,"900,2300","20,30.5",Black,
Montech METAL DT24 BASE,41.99,"800,1950",26,Black / Silver,
MSI MAG CORELIQUID E360 MONSTER HUNTER EDITION,159.99,,,Black,360
Deepcool AG500 ARGB,,"300,1850",29.4,Black / Silver,
ARCTIC Freezer 34 eSports,,"200,2100",28,Red / Black,
ID-COOLING SE-224-XT,,"700,1800","15.2,32.5",Black,
ID-COOLING SE-914-XT,,"600,2200",,Black / Gray,
Thermaltake CLP0556,19.09,"1900,2300",22,,
Deepcool AN600,,"500,1850","20.4,24.2",Black / Silver,
Thermaltake TOUGHLIQUID 420 EX Pro ARGB Sync,,"500,2000",31.6,Black,420
Deepcool GAMMAXX 300,,"900,1600","17.8,21",,
ID-COOLING SE-214-XT-D,,"700,1800",32.5,Gray / Black,
Thermaltake TH280 V2 Ultra ARGB Sync,159.99,"500,2000",34.7,White,280
YEYIAN VATN ARGB 360,109.99,"800,2000","25,32",Black,360
Thermaltake Floe Riing RGB 280 TT Premium Edition,69.98,"500,1400","19.8,27.2",,280
Deepcool LE300,,"500,2250",,Black,120
TEAMGROUP SIREN GD360E,124.99,"600,2200","14.3,35.6",Black,360
Thermalright Core Matrix,,2150,27,White,360
Corsair H50,168.83,1700,30.32,,120
Corsair H60,,,30.2,,120
ID-COOLING FX360 ARGB,,"500,1800",35.2,Black,360
Cooler Master MASTERLIQUID PL240 FLUX,144.99,,32,White,240
Silverstone Krypton KR01,28.04,"800,3000",33,Black / Silver,
Dynatron K129,43.93,,0,Orange,
Dynatron R25,44.95,"1000,7000","21.5,59.14",,
ID-COOLING FROSTFLOW 240L-W,,"800,2000","20,38.2",,240
be quiet! Pure Loop 120,100.32,,"18.9,36.1",Black,120
Silverstone Hydrogon H90 ARGB,,"500,2600","11.3,34.6",Black / Silver,
MSI MPG CORELIQUID K240 V2,139.99,,39.9,Black,240
ARCTIC Freezer A35,40.4,"200,1800",,Black / White,
Mars Gaming MCPU-XT,,"800,1600","9,26",Black,
Thermaltake Floe DX RGB 360 TT Premium Edition,223.15,"500,1500","19,23.9",Black / Gray,360
ARCTIC Freezer 13,,"600,2000",,,
In Win SR24 PRO,49.99,"500,2500",23,Black,240
ID-COOLING DASHFLOW XT LITE,99.99,"500,2000",29.85,Black,360
ARCTIC Liquid Freezer II 240 RGB,115.99,"200,1800",22.5,Black,240
ADATA XPG LEVANTE 360,159.99,"600,2000",34,Black,360
Corsair H100i GTX,170,2435,37.7,,240
Gigabyte AORUS WATERFORCE 280,,"950,2150","17.1,36.5",Black,280
Cooler Master MasterAir MA612 Stealth,78.94,"650,1800","8,27",,
Cooler Master MasterLiquid 120,,"650,2000","6,30",,120
NZXT Kraken X42,,"500,1800","21,38",,140
Cooler Master i70,17.98,1800,28,Black / Silver,
MSI MAG CORELIQUID R,91.99,"500,1800","14.8,33.28",Black,280
Cooler Master MasterAir MA410M,83.13,"650,1800","6,31",Black,
MSI MPG CORELIQUID D240,162.99,,,Black,240
Thermalright Frozen Warframe PRO,,2000,29.8,Black,360
Iceberg Thermal IceSLEET X7 Dual,37.99,"500,1850","0,38",Teal / Silver,
Thermaltake TH420 ARGB Sync,139.99,"500,1800",34.7,White,420
ARCTIC Freezer i13 X,28.33,"300,2000",,Black / White,
Silverstone AR12-TUF,37.03,"300,2200","6.2,34.4",Black / Orange,
Jonsbo CR-1000 EVO Color White,24.99,"600,1500","22,32",White,
ID-COOLING ZOOMFLOW 360 XT SNOW,,"500,1500","13.8,30.5",White,360
Thermaltake TOUGHLIQUID Ultra,189.99,"500,2500",28.1,Black,240
be quiet! Shadow Rock Slim,,"400,1400","11.5,23.7",,
Cooler Master MasterAIR G200P,78.98,"800,2000","6,28",Black / Silver,
Asus ROG STRIX LC 120 RGB,176.79,"800,2500",37.6,Black,120
Corsair H80i,,2700,37.68,,120
Cooler Master Hyper T2,,2800,"17,35",,
Xilence LQ360,117.28,"700,1600","18,35.2",Red / Black,360
ID-COOLING FROZN A610 ARGB WHITE,49.99,"500,2000",29.9,White,
Thermaltake TOUGHAIR 710,94.98,"300,1400","18.5,23.9",Black,
Gigabyte AORUS WATERFORCE II 240,,"800,2300","12.8,36.9",Black,240
Lian Li GALAHAD AIO 240 RGB,,"800,1900",,Black / Silver,240
Corsair H55,,1700,30.32,,120
GAMDIAS CHIONE M3,89.99,"800,2000",,White,240
Deepcool CASTLE 360EX A-RGB,,"500,1800",30,White / Black,360
Thermalright Frozen Warframe PRO ARGB,,2000,29.8,Black,360
Deepcool GAMMAXX 200T,,"900,1600","17.8,26.1",,
GameMax Sigma 550 Infinity,,"800,1800",32.5,Black,
Cooler Master MasterLiquid ML360 Mirror,249,"650,1800","8,27",Black,360
Jonsbo CR-1400 EVO ARGB White,,"800,2200","22.3,33.8",White,
Alpenföhn BEN NEVIS,41.31,"400,1600","8,20.2",,
ARCTIC Alpine M1,,750,20.5,,
Thermalright Core Matrix,,2150,27,Black,360
Thermaltake TH240 ARGB Sync,160.56,1500,28.2,White,240
Alphacool Eisbaer Aurora 360,167.05,"800,2000",,Black,360
Cooler Master Hyper 212 LED White Edition,,"600,1600","9,31",,
Fractal Design Lumen S36 RGB,,"500,2000","10,33.2",Black,360
KOLINK Umbra Void,,2200,30,Black,360
Thermaltake TH280 V2 Ultra ARGB Sync,155.01,"500,2000",34.7,Black,280
Cooler Master DP6-9EDSA-0L-GP,19.95,2600,24.5,,
Asus ROG STRIX LC 240 RGB White Edition,184.99,"800,2500",37.6,White,240
Thermalright Aqua Elite ARGB,,1550,25.6,White,240
NZXT Kraken X41,,"800,2000","20,37",,140
ARCTIC Alpine Passive,,,0,Black,
Gigabyte AORUS ATC800,,"600,2000","18,31",Black,
ID-COOLING PINKFLOW 360,,"900,2000","16.3,33.5",Pink,360
BitFenix Cube ARGB,69.9,2000,34,White,240
GAMDIAS CHIONE M2,69.98,"800,1800",,Black,240
Cooler Master MasterAir MA610P ARGB,46.23,"650,1800","8,27",,
TRYX PANORAMA,339.99,"500,2250",30.97,Black,360
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black,
Enermax LIQMAXFLO 360,89.99,"500,1800",23.46,Black,360
Deepcool GAMMAXX L360 A-RGB,,"500,1800",30,Black,360
Phanteks Glacier One 240 T30 Gen2,,"1200,3000","11.1,39.7",Black / Gray,240
Silverstone IceMyst 420,157.99,"400,1750","13.3,30.8",Silver / Black,420
Cougar Forza 50 Essential,52.57,"600,2000",34.5,Black / Silver,
Cooler Master MasterLiquid ML120L RGB,,"650,2000","6,30",,120
ARCTIC Freezer Xtreme Rev.2,,"800,1500",24.4,,
Noctua NH-L9a,,2500,,,
Deepcool AG500 WH ARGB,,"300,1850",29.4,White,
Fractal Design Celsius+ S24 Prisma PWM ARGB,152.66,"500,2000",32.7,Black,240
Asus ROG RYUJIN II 360 ARGB EVA Edition,,,,Silver / Black,360
Asus ROG RYUO 120 RGB,164.44,"800,2500",37,Black,120
be quiet! Light Loop,129.99,"1500,2900","15.4,34.9",Black,240
Mars Gaming ML-ONE,,"600,1800","9,26",White,120
Corsair H75 2018,,1900,31,Black,120
ID-COOLING AURAFLOW X 240 EVO SNOW,,"700,1800","18,35.2",White,240
CRYORIG C7,,"600,2500",30,,
ID-COOLING SE-214-XT PRO,,"600,1500",28.9,Black / Silver,
Xilence A404T,62,"600,2200",65.4,Red / Black,
Thermalright Frozen Vision 240,,"2150,21500",27,Black,240
Thermalright Frost Spirit 140,,1500,25.6,Gray,
Cooler Master MasterLiquid LC240E RGB,,"650,1800",31.5,Black,240
Thermaltake TH240 ARGB Sync,,1500,28.2,Black,240
MSI MPG CORELIQUID K360 V2,,,39.9,Black,360
ID-COOLING SE-214-XT,,"500,1500","16,26.6",,
ID-COOLING ZOOMFLOW 240 XT SNOW,,"500,1500","13.8,30.5",White,240
Thermalright Frost Tower 120,,1850,29.6,,
AQIRYS Hydra ARGB,,"800,2000","25,34",Black,240
Cooler Master MasterAir MA624 Stealth,,"650,1400","10,27",Black,
Asus ROG RYUO 240 RGB,189.98,"800,2500",37,Black,240
Deepcool GAMMAXX AG620 ARGB,,"300,1850",29.4,Black / Silver,
Noctua NH-U12P SE2,,"900,1300","12.6,19.8",,
Deepcool CAPTAIN 240EX WHITE,,"500,1800","17.6,31.3",,240
ID-COOLING ZOOMFLOW 240,,"900,2000","16.3,33.5",Black,240
ID-COOLING FROSTFLOW X,,"700,1800","18,35.2",,360
Deepcool Castle 360 RGB V2,,"500,1800",30,Black,360
Lian Li Galahad AIO360 (2022),,"800,1900",32,Black / Silver,360
Fractal Design Celsius+ S36 Dynamic X2 PWM,,"500,2000",32.2,Black,360
Deepcool LE300 Marrs,,"500,2250",32.9,Black,120
Thermaltake Water 3.0 Riing RGB 280,142.57,"300,1500","18.5,26.4",Black / Red,280
Cooler Master Hyper TX3 Evo,,"800,2200",,,
Gelid Solutions Slim Silence AM1,,"1200,2600","15,27.2",,
Thermaltake Floe Riing RGB 360 TT Premium Edition,149.81,"500,1400","19.8,24.7",,360
Scythe Mugen 5 PCGH Edition,,"300,800","4,14.5",Silver / Black,
Deepcool Gammaxx L360 V2,,"500,1800",30,Black / White,360
Xilence M403PRO.ARGB,64.48,"500,1800","14.2,25.6",Black / Silver,
Thermalright Frozen Notte ARGB V2,,2000,27.7,White,360
Fractal Design Celsius+ S24 Dynamic X2 PWM,,"500,2000",32.2,Black,240
Thermaltake TH360 V2 Ultra EX ARGB Sync,,,,Black,360
Thermalright Macho Rev.B,84.52,"300,1300","15,21",,
Deepcool CASTLE 360EX WHITE,,"500,1800",32.1,White / Black,360
Gelid Solutions Glacier,32.19,"500,1600",35,Black,
iBuypower AW4,79.98,"700,2000",38,White,240
Cougar FORZA 85,80.39,"600,2000",34.5,Black,
Dynatron T318,47.93,,0,,
Deepcool AK620 ZERO DARK ZORIA,,"500,1850",28,Orange / Black,
Alpenföhn Brocken 4,,"400,1600",22.8,Black,
MSI CORE FROZR L,,"500,1800","17.2,33.6",,
upHere CCF150CF,,"600,1800","16.1,27.7",Black,
Thermalright Frost Commander 140,,1800,30.2,Gray,
ID-COOLING FROSTFLOW X 240 LITE SNOW,,"700,1800","15.2,35.2",White,240
NZXT Kraken Elite RGB (2024),,"500,2000",34.5,Black,280
Enermax LIQTECH TR4 II 360,212.91,"500,2300","14,28",Black,360
StarTech FAN1156PWM,22.48,"1000,3000",33,,
ARCTIC Freezer 13 CO,,"600,2000",24.4,,
Cooler Master Hyper T4,,1800,"15.1,31.6",,
Cooler Master MasterLiquid ML120R RGB,,"650,2000","6,30",,120
SilentiumPC Fera 3 HE1224,,"500,1600",,Black / Silver,
Enermax ETS-F40-FS,34.99,"300,1200","10,23",White,
Phanteks Glacier One 240 T30,,"1200,3000","11.1,39.7",Gray,240
Enermax LIQMAX III ARGB,54.99,"500,1600","14,27",Black,120
Silverstone NT09-115X,18.45,"550,2500","18.5,32",,
Yeston zeaginal Sakura,,"900,1800",30,White,240
ARCTIC Alpine 12 LP,,"100,2000",,Black / White,
Thermaltake TOUGHLIQUID ARGB,,"500,2000",22.3,Black,240
ENDORFY Navis F240 ARGB,152.01,"250,1800",,Black,240
Alpenföhn Brocken ECO,,"500,1500","4.6,27.3",,
Asus ROG STRIX LC 360 RGB,,"800,2500",37.6,Black,360
ARCTIC Liquid Freezer II 360 RGB,,"200,1800",22.5,Black / Gray,360
Vetroo Shadow,,"800,2500",29.6,Black,
ID-COOLING SPACE LCD,,"500,1800",35.2,Black,360
ID-COOLING SE-214-XT BASIC,,"700,1800",35.2,Gray / Silver,
Alphacool Eisbaer 360,139.95,"550,1700",29,Black,360
ID-COOLING FX240 PRO,,"500,1800",35.2,Black,240
EVGA CLCx 280,225.33,,35,Black,280
Cooler Master MasterAir G100M RGB,,"600,2400",30,Black / Multicolor,
ID-COOLING FROSTFLOW+ 240 SNOW,,"700,1500","18,26.4",White,240
ID-COOLING IS-30A,,"800,3600","17,35.8",Black / Silver,
Jonsbo CR-1000 EVO Color Black,28.99,"600,1500","22,32",Black,
ID-COOLING SE-224-XT Basic,,"700,1800","15.2,32.5",Black / Gray,
RAIJINTEK PALLAS 120,40.22,"200,1400",28.43,Black,
Asus ROG STRIX LC II ARGB,,"800,2500",37.6,Black,120
Tempest Subzero RGB,,"800,1650",,Black / Silver,
Thermaltake TH420 ARGB Sync,,"500,1800",34.7,Black,420
Xilence LQ240,88.4,"700,1600","18,32.5",Red / Black,240
ID-COOLING SE-226-XT,,"500,1500","13.8,30.5",Black,
Thermalright AXP-100 Full Copper,,"900,2500",,Orange,
Phanteks Glacier One 360MPH,,"500,2200","18,34.2",Black,360
Thermalright Frozen Vision 240,,"2150,21500",27,White,240
be quiet! Shadow Rock TF 2,115.6,1400,"11.9,24.4",Silver / Black,
ARCTIC Alpine 12 CO,,"100,2700",,Black / Gray,
Mars Gaming ML-ONE,,"600,1800","9,26",Pink,120
Xilence I402,,"600,2200","14,23.8",Red / Black,
Gelid Solutions Liquid 120,,"750,1800",29.6,Black,120
Deepcool GAMMAXX GT,,"500,1500","17.8,29.5",,
RAIJINTEK JUNO-X,28.36,"1200,2500",26,Black,
EVGA CLC 120 CL11,,1800,32.1,,120
Thermaltake UX200 ARGB,33.99,"300,1500",26.33,Black,
ENDORFY Navis F280,,"250,1800",,Black,280
Corsair H110i GT,384.63,2100,43,,280
Cooler Master V8 GTS,,1600,36,,
CRYORIG H5 Ultimate,,"700,1300","19,23",,
SilentiumPC Fortis 3 HE1425,,"500,1400","8,22",,
ARCTIC Freezer 33 eSports ONE (Black/Red),,"200,1800",24.4,Black / Red,
Deepcool CASTLE 120R,,"500,1800",32,Black,120
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Alphacool Eisbaer LT240,113.5,"550,1700",29,Black,240
Alphacool Eisbaer Pro Aurora,194.99,,31.5,Black,360
Iceberg Thermal IceSLEET G4 Midnight Limited Edition,28.9,"600,1400",22.5,Black,
ARCTIC Freezer 50 (w/Controller),80.98,"200,1800",,Black,
Thermaltake TOUGHLIQUID ARGB,139.99,"500,2000",22.3,Black,360
Noctua NH-U12S TR4-SP3,89.9,"300,1500","18.6,22.4",,
Geometric Future Eskimo Junior 36,139.9,2000,29,Black,360
Asus ROG STRIX LC 240 RGB,169.99,"800,2500",37.6,Black,240
Thermaltake TOUGHLIQUID 360 EX Pro ARGB Sync,,"500,2000",31.6,Black,280
Corsair H105,,"800,2700",37.7,,240
Cooler Master MasterLiquid ML360 Sub-Zero,,"650,1900","8,26",Black,360
GAMDIAS BOREAS P1-720,69.98,"800,2000","10,31",Black,
Thermaltake TOUGHLIQUID 240 EX Pro ARGB Sync,,"500,2000",22.6,Black,240
Iceberg Thermal IceFLOE T65,,"1000,3000",31.5,Silver / Teal,
ID-COOLING SE-207-XT SLIM SNOW,,"700,1800","15.2,35.2",White,
Deepcool AS500,,"500,1200",29.2,Black / Silver,
ARCTIC Freezer 34 eSports DUO,,"200,2100",24.4,Green / Black,
Deepcool GAMMAXX L120,,"500,1800",17.8,Black,120
Deepcool GAMMAXX L360 A-RGB,,"500,1800",30,White,360
Thermalright Frozen Magic Scenic V2,,2000,31.4,White,280
Lian Li Galahad AIO240 (2022),160.69,"800,1900",32,White / Silver,240
Iceberg Thermal IceSLEET X6,31.99,"500,1850","0,36",Teal / Silver,
Fractal Design Celsius S24 Blackout,,"500,2000",32.2,Black,240
Enermax LIQMAXFLO SR 120,59.99,"500,1800",23.46,Black,120
Enermax LIQMAXFLO 420,104.99,"500,1700",25.47,Black,420
Jonsbo HX5230,,"700,1800","25.2,37.6",Black,
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,240
ID-COOLING SE-225-XT BLACK V2,,"700,1800","15.2,35.2",,
RAIJINTEK LETO RGB,28.22,"800,1800",25,Black / Silver,
Noctua NH-D14 SE2011,,"900,1300","12.6,19.8",,
Cooler Master Hyper 212X Dual Fan,,2000,"9,36",,
Cooler Master MasterLiquid Pro 280,,"650,2200","6,30",,280
Deepcool GAMMAXX GTE,,"500,1500",27,Black / Silver,
ID-COOLING IS-47K,,"600,2500","14,33",Silver / Black,
aigo Shadow Max,,"800,2500",29.6,Black,
ID-COOLING AURAFLOW X 240 EVO,,"700,1800","18,35.2",Black,240
Thermalright Frozen Magic Scenic V2,,2150,28.1,White,360
ID-COOLING IS-67-XT,,"500,2200",35.2,White,
ID-COOLING SE-206-XT,,"700,1800",35.2,Black,
ID-COOLING SE-914-XT ARGB,,"600,2200","14,25.8",Black / Gray,
Thermalright Core Matrix,,2150,27,Black,240
Azza CUBE 360,99.99,"500,2000",34,Black,360
ARCTIC Alpine AM4 CO,24.99,"100,2700",,Black,
Enermax AQUAFUSION ADV,,"500,2000","17,32.6",White,240
Fractal Design Celsius+ S28 Dynamic X2 PWM,,"500,1700",32.7,Black,280
Evercool LGAL1156A-B715,54.99,"1000,5500",56,,
be quiet! Shadow Rock 2,108,1600,"15.3,25.4",,
Deepcool GAMMAXX 400 XT,,"500,1500",27,Black,
Intel BXRTS2011LC,,2200,,,120
Cooler Master Hyper 103,,"800,2200","17,30",,
Deepcool GAMMAXX 400 Blue,,"900,1500","17.8,30",Blue / Silver,
Jonsbo HP400S,,"900,2800","20.2,34",Blue / Silver,
GAMDIAS BOREAS E2-410,,"800,1800","10,32",Black,
Phanteks GLACIER ONE 240D30,234.99,"250,2000",30.2,White,240
Thermaltake TOUGHLIQUID Ultra,199.99,"500,2000",33.2,Black,280
Silverstone Hydrogon D120 ARGB,,,"0,30.5",White / Silver,
Cougar FORZA 135,99.57,"500,1500",38.5,Black / Silver,
Thermaltake TH420 V2 Ultra EX ARGB Sync,,"500,2000",30.7,Black,420
Thermalright TRUE Spirit 140 Direct,110.38,"300,1300","15,21",,
Cougar Helor 240,165.2,"600,1800",37.1,Black,240
Thermalright AXP-100RH,146.97,"900,2500",,Black / Red,
Azza CUBE 240,79.98,"500,2000",34,Black,240
Zalman CNPS9500 AT,29.99,"1300,2650","18,27.5",,
ARCTIC Freezer i35 CO,41.8,"200,1800",,Black / Silver,
be quiet! Dark Rock TF,,1400,"11.9,26.7",,
Cooler Master Hyper 412S,,"900,1300","16.1,22.5",,
Corsair H110i GTX,,2000,40,,280
Deepcool Gamerstorm Captain 240 PRO,,"500,1800",30,Black,240
ID-COOLING ZOOMFLOW X,,"700,1500","18,26.4",White,240
Azza Blizzard SP 240,,"700,2200",36,Black,240
ID-COOLING IS-50X V2,,"500,2000","13.8,31.2",Black / Gray,
Zalman CNPS10X Performa,,"700,1500",27,White,
MSI MAG CORELIQUID I240,109.99,,,Black,240
TEAMGROUP SIREN GD240E,105.99,"600,2200","14.3,35.6",White,240
Alphacool Eisbaer LT360,124.75,"550,1700",29,Black,360
Thermalright Core Matrix,,2150,27,White,240
Scythe KOTETSU Mark II TUF,73.77,"300,1200","4,24.9",Black / Yellow,
Valkyrie DRAGONFANG,,"800,2150",29,Black,360
Thermaltake TOUGHAIR 510,64.98,"500,1200",23.6,Green,
Akasa Vegas Chroma AM,,"500,1800",32.5,Black,
GAMDIAS CHIONE P2,104.98,"800,1800",,Black,360
Thermalright Frozen Notte ARGB V2,,2000,27.7,Black,240
Xilence A200,56,2200,32,Black / Silver,
Noctua NH-C14,,"750,1200","10.1,19.6",,
Intel BXTS13A,,,,,
Silverstone HE02-V2,,,0,Silver,
SilentiumPC Spartan 3 LT HE1012,,"800,2000",,Black / Silver,
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,360
Scythe Mugen 5 Rev.C,,"300,1500","4,28.6",Black / Silver,
Thermalright Frozen Warframe,,2000,22.1,Black,360
Zalman ALPHA2 A36,,"600,2000",29.7,Black,360
Zalman CNPS17X,24.99,"800,1500",29,Black / Silver,
Alpenföhn Dolomit Premium,83.19,"500,1600",23.5,Black,
Cooler Master MasterLiquid ML240P Mirage,,2000,27,Black,240
ID-COOLING SE-903-XT,,"500,2200","14,25.8",,
ID-COOLING SE-802-SD V3,,2200,23.3,Black / Silver,
EVGA ACX,,2800,42.5,,
Thermaltake Water 3.0 Riing RGB 360,,"800,1500",26.4,,360
ID-COOLING IS-40X V3,,"800,2800",35.2,Black,
Rosewill RCX-Z90-AL,20,"600,3000","15,30",,
Valkyrie SYN,,"800,2150",29,Black / Red,360
KOLINK Umbra Void,,2200,30,Black,120
Alpenföhn Brocken 3,,"400,1050",22,Black,
GameMax Iceberg 240,,"600,1800","25,32",Black,240
Silverstone PF240-ARGB,,"600,2200","7.4,35.6",Black,240
NZXT Kraken X42 Rev 2,,"500,1800","21,38",,140
be quiet! Silent Loop 360,,2000,"16.1,36.9",,360
Thermaltake Floe Riing RGB 240 TT Premium Edition,119.33,"500,1400","19.8,24.7",,240
Cooler Master Hyper 212 Plus,78.98,"600,2000","13,32",,
FSP Group Windale 4,29.23,"600,1600",32,Black / Silver,
Scythe Kotetsu Mark II,112.54,"300,1200","4,24.9",,
Jonsbo CR-1000 EVO Standard,,"600,1500","22,32",Black,
Akasa SOHO 360 Dusk,247.99,"500,2000","14.5,31.8",Black,360
Cooler Master Seidon 120V,,2400,"19,40",,120
CRYORIG H5 Universal,,"700,1300","20,24",,
ARCTIC Alpine M1 - Passive,,,0,,
Deepcool Castle 240 RGB,,"500,1800","17.8,30",Black,240
Cooler Master Hyper H410R,,"600,2000",29.4,Black / Red,
Thermaltake Floe DX RGB 240 TT Premium Edition,133.4,"500,1500","19,23.9",Black / Gray,240
Scythe Mugen 5 Black RGB Edition,,"300,1200","4,24.9",Black / Silver,
SilentiumPC Fortis 5,,"300,1400",,Black / Silver,
Enermax LIQMAX III RGB,,"500,1600","14,27",Black,120
Scythe Ninja 5 Rev. B,,"300,800","4,14.5",Black,
Alphacool Eisbaer Aurora 240,137.35,"800,2000",,Black,240
Silverstone PF360-ARGB,,"600,2200","7.4,35.6",Black,360
Deepcool GAMMAXX L240 A-RGB,,"500,1800",30,White,240
