name,price,style,switches,backlit,tenkeyless,connection_type,color
Corsair K57 RGB,109.99,Gaming,,RGB,false,Bluetooth Wireless,Black
Logitech G715,149.99,Gaming,GX Red,RGB,true,"Wired, Wireless, Bluetooth Wireless",White
8BitDo Retro Fami,99.99,Gaming,Kailh Box White V2,,false,"Wired, Wireless, Bluetooth Wireless",White / Red
Razer BlackWidow V4 Pro,214.14,Gaming,Razer Yellow,RGB,false,Wired,Black
Keychron C1 Pro V1,69.98,Standard,Keychron K Pro Red,RGB,true,Wired,Black / Gray
Corsair K68 RGB,159,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech G413 SE,,Gaming,Kailh LT Brown,White,true,Wired,Black
Keychron K10 Pro QMK/VIA,,Standard,Keychron K Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
SteelSeries Apex 100,35.76,Gaming,,Blue,false,Wired,Black
Logitech G915 Lightspeed,155.24,Gaming,Logitech GL Clicky,RGB,false,Wireless,Black
Asus ROG Strix Scope,98.65,Gaming,ROG RX Red Optical,RGB,false,Wired,
Thermaltake POSEIDON Z,79.98,Gaming,Kailh Blue,Blue,false,Wired,Black
NZXT Function 2,94.78,Gaming,NZXT Swift Optical 40g,RGB,false,"Wired, Wired",White
Cooler Master SK622,38.95,Gaming,TTC Brown Low Profile,RGB,true,"Wired, Bluetooth Wireless",Black
Logitech K845,59.99,Standard,TTC Red,White,false,Wired,Black
HP 150,12.99,Standard,,,false,Wired,Black
Corsair K60 RGB Pro,94.95,Gaming,Cherry MX Low Profile Speed Silver,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Blue,White,true,"Wired, Wireless, Bluetooth Wireless",White
Logitech G915 Lightspeed,159.99,Gaming,Logitech GL Linear,RGB,false,Wireless,Black
Asus ROG Strix Scope RX EVA-02 Edition,279.99,Gaming,ROG RX Red Optical,RGB,false,Wired,Red / Black
Logitech G Pro,129.99,Gaming,Romer-G Tactile,RGB,true,Wired,Black
Logitech PRO X 60,149.99,Mini,Logitech GX Brown Tactile,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 RGB MK.2,278,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Corsair K55 CORE RGB,,Gaming,,RGB,false,Wired,Black
Cherry JK-0800,20.61,Standard,,,false,Wired,Black
Razer Ornata Chroma,119.48,Gaming,,RGB,false,Wired,Black
Corsair K70 RGB TKL CHAMPION SERIES,129,Gaming,Cherry MX Speed Silver,RGB,true,Wired,Black
Logitech G515 LIGHTSPEED,129.99,Gaming,GL Tactile V2,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Corsair K70 PRO MINI,179.99,Mini,Cherry MX Speed Silver,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Thermaltake Commander Combo V2,34.98,Gaming,,Multicolor,false,Wired,Black
SteelSeries Apex 7,159.99,Gaming,SteelSeries QX2 Red,RGB,false,Wired,Black
Wooting One,,Gaming,Flaretech Red,RGB,true,Wired,Black
GMMK Glorious Modular Mechanical Gaming Keyboard,146.65,Gaming,Gateron Brown,RGB,true,Wired,Black
Asus ROG Azoth,249.99,Mini,ROG NX Brown,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Logitech MX Keys Advanced,119.99,Slim,,White,false,Wireless,Black
Logitech G910 Orion Spectrum RGB,309.99,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Razer Huntsman V2 Analog,119.99,Gaming,Razer Analog Optical,RGB,false,Wired,Black
Razer BlackWidow V3,119.99,Gaming,Razer Green,RGB,false,Wired,Black
Corsair K55 + HARPOON RGB,99.99,Gaming,,RGB,false,Wired,Black
RK Royal Kludge RK61,49.99,Mini,RK Brown,White,true,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K552-R KUMARA,,Gaming,Outemu Blue,RGB,true,Wired,Black
Logitech MX Mechanical,141.99,Slim,Kailh Choc V2 Brown,White,false,Wireless,Gray / Black
Razer BlackWidow V4 Pro 75%,299.99,Mini,Razer Gen-3 (Tactile),RGB,true,"Wireless, Bluetooth Wireless",Black
Logitech MK550,59.99,Ergonomic,,,false,Wireless,Black
Razer BlackWidow V4,169.99,Gaming,Razer Green,RGB,false,Wired,Black
Razer BlackWidow Elite,269.99,Gaming,Razer Orange,RGB,false,Wired,Black
Asus ROG Strix Scope RX EVA Edition,,Gaming,ROG RX Red Optical,RGB,false,Wired,Purple / Green
Razer DeathStalker V2 Pro,159.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,true,Wireless,Black
Logitech G810 Orion Spectrum RGB,308.98,Gaming,Romer-G Tactile,RGB,false,Wired,Black
Logitech G413 Carbon,112.18,Gaming,Romer-G Tactile,Red,false,Wired,Black
Razer BlackWidow V3 Pro,299.99,Gaming,Razer Green,RGB,false,Wireless,Black
Corsair K60 Pro,92.19,Gaming,Corsair OPX,RGB,true,Wired,Black
MSI VIGOR GK50 ELITE LL,54.99,Gaming,Kailh Blue,RGB,false,Wired,Silver / Black
Logitech PRO X,159.99,Gaming,Logitech GX Red Linear,RGB,true,,Black
Razer Huntsman Tournament Edition,,Gaming,Razer Red Optical Linear,RGB,true,Wired,Black
Womier SK75,109.99,Mini,Womier Mint Blizzard Linear,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
Logitech G610,139,Gaming,Cherry MX Red,White,false,Wired,Black
Razer Huntsman V2,109.99,Gaming,Razer Red Optical Linear,RGB,true,Wired,Pink
Logitech ERGO K860,119.99,Ergonomic,,,false,Bluetooth Wireless,Black
Logitech G815 Lightsync RGB,189.97,Gaming,GL Linear,RGB,false,Wired,Black
Corsair K70 RGB MK.2 SE,,Gaming,Cherry MX Speed Silver,RGB,false,Wired,White / Silver
AZIO KB512,21.1,Gaming,,Multicolor,false,Wired,Black
Rii RK100,,Standard,,Multicolor,false,Wired,
Asus TUF Gaming K1,54.38,Gaming,,RGB,false,Wired,Black
Logitech CRAFT,169.99,Standard,,,false,Wireless,Black
Keychron K3 V2 Ultra-slim,93.99,Standard,Keychron Optical Brown Low Profile (Hot-Swappable),RGB,true,"Wired, Wired, Bluetooth Wireless",Black / Gray
Asus ROG Strix Scope,161.99,Gaming,ROG RX Red Optical,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Redragon K580 VATA,,Gaming,Outemu Blue,RGB,false,Wired,Black
SteelSeries Apex 3 (2020),40.99,Gaming,,RGB,false,Wired,Black
Glorious GMMK,159.69,Gaming,Gateron Brown,RGB,false,Wired,Black
Asus ROG Strix Flare (Cherry MX Red),189.99,Gaming,Cherry MX Red,RGB,false,Wired,Black
Logitech K270,24.95,Standard,,,false,Wireless,Black
NZXT Function MiniTKL,,Gaming,Gateron Red,RGB,true,Wired,Black
Razer Ornata V3 X,,Gaming,,RGB,false,Wired,Black
Razer Huntsman Mini Analog,101.89,Mini,Razer Analog Optical,RGB,true,Wired,Black
Das Keyboard Model S Professional,129,Standard,Cherry MX Brown,,false,Wired,Black
8BitDo Retro N,89.99,Gaming,Kailh Box White V2,,false,"Wired, Wireless, Bluetooth Wireless",White / Gray
Logitech MX Mechanical Mini,107.39,Slim,Kailh Choc V2 Blue,White,true,Wireless,
Corsair K68,,Gaming,Cherry MX Red,Red,false,Wired,Black
Razer Cynosa Chroma,132.99,Gaming,,RGB,false,Wired,Black
Razer Ornata V3,69,Gaming,,RGB,false,Wired,Black
Asus ROG Falchion,129,Gaming,ROG NX Red,RGB,true,"Wired, Wireless",Black
Razer BlackWidow Elite,,Gaming,Razer Green,RGB,false,Wired,Black
Logitech MK295 Silent,26.99,Standard,,,false,"Wired, Wireless",Black
EVGA Z15,39.99,Gaming,Kailh Silver Speed,RGB,false,Wired,Black
Logitech G915 X LIGHTSPEED,229.99,Gaming,Logitech Low-Profile GL Linear,RGB,false,"Wired, Wireless, Bluetooth Wireless",Black
HP USB Keyboard,13.8,Standard,,,false,Wired,Black
Happy Hacking Professional 2,,Standard,Topre 45g,,true,Wired,White
Corsair K70 RGB PRO,129.99,Gaming,Cherry MX Brown,RGB,false,Wired,Black
Ducky ONE 3,159,Gaming,Cherry MX Red RGB,RGB,false,Wired,Black
HP QY776AA,83.87,Standard,,,false,Wired,Black
Keychron C2,65.98,Standard,Gateron G Pro Brown,White,false,Wired,Black / White
Glorious GMMK,134.79,Gaming,Gateron Brown,RGB,true,Wired,Black
Keychron K4 V2,99.99,Standard,Gateron G Pro Brown,RGB,false,"Wired, Bluetooth Wireless",Black / Gray
Logitech G815 Lightsync RGB,178.81,Gaming,GL Clicky,RGB,false,Wired,Black
Corsair K70 CORE w/Palmrest,100.32,Gaming,Corsair MLX Red Linear,RGB,false,Wired,Black
Cooler Master SK620,29.99,Gaming,TTC Brown,RGB,true,Wired,Silver / White
Corsair K70 MAX RGB US,174.99,Gaming,Corsair MGX Steel Grey,RGB,false,Wired,Black
Razer Tartarus Pro,109.99,Ergonomic,Razer Red Optical Linear,RGB,true,Wired,Black
HP 230,24.99,Standard,,,false,"Wired, Wireless",Black
Logitech G513 Carbon,129.99,Gaming,GX Brown,RGB,false,Wired,Black
Razer BlackWidow V3 Mini HyperSpeed - Phantom Edition,99.99,Gaming,Razer Green,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
Kensington K72357US,27.42,Slim,,,false,Wired,Black
Verbatim 98121,20.81,Standard,,,false,Wired,Black
HP HyperX Alloy Origins,89.99,Gaming,HyperX Aqua,RGB,false,Wired,Black
Logitech K845,59.99,Standard,TTC Brown,White,false,Wired,Black
Cooler Master CK720 US,49.95,Gaming,Kailh Box Brown V2,RGB,true,Wired,Silver / White
Logitech PRO X,147.25,Gaming,Logitech GX Brown Tactile,RGB,true,,Black
Logitech MX Keys,109.99,Slim,,,false,"Wired, Wired, Wireless, Bluetooth Wireless",Black
Logitech MK470,37.17,Slim,,,false,"Wired, Wireless",Black / Gray
SteelSeries Apex 9 TKL,97.03,Gaming,SteelSeries OptiPoint Linear,RGB,true,Wired,Black
iBuypower Chimera KM7 RGB,35,Gaming,,RGB,false,Wired,Black
HP HyperX Alloy Elite 2,172.51,Gaming,HyperX Red,RGB,false,Wired,Black
Ducky One 2 RGB TKL,,Standard,Cherry MX Blue,RGB,true,Wired,Black
Razer Huntsman V2,133.08,Gaming,Razer Purple Optical Clicky,RGB,false,Wired,Black
Corsair K65 RGB MINI,109.99,Mini,Cherry MX Brown,RGB,true,Wired,Black
Razer DeathStalker V2 Pro,199.99,Gaming,Razer Red Low-Profile Optical Linear,RGB,false,Wireless,Black
SteelSeries Apex Pro TKL (2023),,Gaming,SteelSeries OmniPoint 2.0,RGB,true,"Wired, Wireless, Bluetooth Wireless",Black
