name,price,socket,form_factor,max_memory,memory_slots,color
Asus PRIME Z790-V WIFI,219.99,LGA1700,ATX,192,4,Black / Silver
Asus ROG STRIX B450-F GAMING II,,AM4,ATX,128,4,Black
Gigabyte Z790 AORUS XTREME X,1499.99,LGA1700,EATX,192,4,Black
ASRock X670E Taichi,379.99,AM5,EATX,192,4,Black
ASRock B760M Pro RS WiFi White,139.99,LGA1700,Micro ATX,192,4,White
Gigabyte X670E AORUS MASTER (rev. 1.0),,AM5,EATX,192,4,Black / Silver
Asus TUF GAMING B760-PLUS WIFI,159.99,LGA1700,ATX,192,4,Black
MSI PRO Z790-P WIFI DDR4,171.99,LGA1700,ATX,128,4,Black / Silver
MSI PRO-H610M-E-DDR4,,LGA1700,Micro ATX,64,2,Black
ASRock B650E Taichi Lite,386.38,AM5,EATX,192,4,Black / Gray
ASRock X670E Taichi Carrara,557.29,AM5,EATX,192,4,Black / White
Asus ROG MAXIMUS Z790 HERO BTF,699.99,LGA1700,ATX,192,4,Black
Asus Zenith II Extreme,1799,sTRX4,EATX,256,8,Black
ASRock B450M Steel Legend,89.99,AM4,Micro ATX,64,4,Black / White
Biostar B450MHP,69.98,AM4,Micro ATX,64,2,Black / Silver
ASRock B760M Pro RS/D4 WiFi,149.66,LGA1700,Micro ATX,128,4,Silver / Black
Asus ROG STRIX B760-A GAMING WIFI,199.99,LGA1700,ATX,192,4,Silver / Black
Asus PRIME A320M-K,,AM4,Micro ATX,32,2,Black / White
Gigabyte B760M DS3H AX,139.99,LGA1700,Micro ATX,192,4,Black
MSI PRO X670-P WIFI,317.51,AM5,ATX,192,4,Black / White
ASRock B650 LiveMixer,149.99,AM5,ATX,192,4,Orange / Black
ASRock B550 Phantom Gaming-ITX/ax,159.99,AM4,Mini ITX,64,2,Silver / Black
MSI MPG Z790 EDGE TI MAX WIFI,278.99,LGA1700,ATX,192,4,Silver / Black
ASRock B550M PG RIPTIDE,148.94,AM4,Micro ATX,128,4,
NZXT N7 Z790,249.99,LGA1700,ATX,192,4,White / Black
Asus ROG STRIX B450-F GAMING,299.95,AM4,ATX,128,4,Black
Asus PRIME X670-P WIFI,226,AM5,ATX,192,4,Silver / Black
