name,price,tracking_method,connection_type,max_dpi,hand_orientation,color
Logitech MX Master 3,99.99,Laser,Wireless,4000,Right,Black / Silver
Razer Naga Trinity,181.87,Optical,Wired,16000,Right,Black
Glorious Model I 2,74.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Glorious Model I 2,74.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech M317,14.99,Optical,"Wired, Wireless",1000,Both,Black
Logitech MX Vertical,79.98,Optical,Wireless,4000,Right,Gray / Silver
Corsair M75,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Both,White
Corsair SCIMITAR PRO RGB,59.99,Optical,Wired,16000,Right,Black
Logitech G705,69.95,Optical,"Wired, Wireless, Bluetooth Wireless",8200,Right,White
Glorious Model O 2,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,White
Logitech PRO X SUPERLIGHT 2 DEX,159,Optical,"Wired, Wireless",44000,Right,White
Razer Mamba Elite,58,Optical,Wired,16000,Right,Black
Glorious Model O-,49.99,Optical,Wired,12000,Right,Black
Razer DeathAdder,189.99,Laser,Wired,3500,Left,Black
Glorious Model O,116.22,Optical,Wireless,19000,Right,Black
Logitech M170,12.99,Optical,"Wired, Wireless",1000,Both,White
Verbatim Bravo,7.5,Optical,Wired,,Both,Black
Logitech G903 HERO,91.99,Optical,Wireless,25600,Both,Black
Logitech G604 LIGHTSPEED,239.75,Optical,Wireless,25600,Right,Black
Logitech G700s,,Laser,Wireless,8200,Right,Black
Cooler Master MM712,39.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000,Right,Black
EVGA X20,29.43,Optical,"Wired, Wireless, Bluetooth Wireless",16000,Right,Black / Silver
SteelSeries Rival 600,58.83,Optical,Wired,12000,Right,Black
Cherry MC 1000,9.94,Optical,Wired,1200,Both,Black
Razer Naga Pro,164.58,Optical,Wireless,20000,Right,Black
Logitech M720 Triathlon,34.5,Optical,Bluetooth Wireless,1000,Right,Black
Logitech MX MASTER 2S (Black),65.98,Laser,Wireless,4000,Right,Black
Glorious MODEL D,37.86,Optical,Wired,12000,Right,Black
HP HyperX Pulsefire Haste 2,49.99,Optical,Wired,26000,Right,Black
Logitech G Pro X Superlight,141,Optical,Wireless,25400,Right,Pink
Corsair HARPOON RGB PRO,45,Optical,Wired,12000,Right,Black
Logitech G502 X,116.75,Optical,"Wired, Wired, Wireless",25600,Right,White
Asus ROG Gladius III Wireless AimPoint EVA-02 Edition,,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,Red / Black
Razer Orochi V2,50.15,Optical,Wireless,18000,Right,Black
Logitech G305 LIGHTSPEED,44.85,Optical,"Wired, Wireless",12000,Right,Purple
Corsair KATAR PRO,34.98,Optical,Wireless,10000,Right,Black
Asus ROG Keris AimPoint,88.56,Optical,"Wired, Wireless, Bluetooth Wireless",36000,Right,White
EVGA X17,17.98,Optical,Wired,16000,Right,Black / Gray
Logitech G502 SE HERO,55.99,Optical,Wired,25600,Right,Black / Silver
Logitech MX Master,124.98,Optical,Wireless,1600,Right,Black / Copper
Corsair M75 AIR,79.98,Optical,"Wired, Wireless, Bluetooth Wireless",26000,Right,Black
Genius DX 110,8.19,Optical,Wired,1000,Both,Black
Logitech M705,34.99,Laser,Wireless,,Right,Black
Glorious Model O 2 PRO,64.98,Optical,"Wired, Wireless",26000,Right,Black
Logitech G502 Hero K/DA,79.98,Optical,Wired,25600,Right,White / Blue
Corsair IRONCLAW RGB FPS/MOBA,59.99,Optical,Wired,18000,Right,Black
Razer Cobra Pro,129,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,White
GALAX HOF Ace M2,39.99,Optical,"Wired, Wireless",38000,Right,Black
Razer Viper,49.7,Optical,Wired,16000,Both,Pink / Gray
Asus TUF Gaming M3 Gen II,24.49,Optical,Wired,8000,Right,Black / Yellow
Razer Viper Mini Signature Edition,,Optical,"Wired, Wireless",30000,Right,Black
Razer Basilisk Ultimate,129.99,Optical,"Wired, Wireless",20000,Right,Black / Green
Corsair M55 RGB Pro,39.99,Optical,Wired,12400,Both,Black
Corsair DARKSTAR,149.99,Optical,"Wireless, Bluetooth Wireless",26000,Right,Black
Razer Basilisk Ultimate,190,Optical,Wireless,20000,Right,Black
Asus ROG Gladius III,49.99,Optical,Wired,26000,Right,Black
EVGA X17,14.99,Optical,Wired,16000,Right,Gray / Black
Logitech G403 Prodigy,68.55,Optical,Wired,12000,Right,Black
Razer Cobra Pro w/Dock Pro,169.99,Optical,"Wired, Wireless, Bluetooth Wireless",30000,Right,Black
