name,price,type,efficiency,wattage,modular,color
be quiet! Pure Power 12 M,84.99,ATX,gold,650,Full,Black
EVGA 600 W1,44.99,ATX,plus,600,false,
SeaSonic FOCUS Plus 750 Gold,109.99,ATX,gold,750,Full,
be quiet! Pure Power 12 M,139.9,ATX,gold,1000,Full,Black
Logisys PS480D2,16.98,ATX,,480,false,
Apevia CAPTAIN,31.99,ATX,,550,false,Black
EVGA 600 GD,64.98,ATX,gold,600,false,Black
Lian Li SP750,132.38,SFX,gold,750,Full,White
Corsair SF750 (2018),256.94,SFX,platinum,750,Full,Black
Lian Li SP850,134,SFX,gold,850,Full,White
Corsair CV650,,ATX,bronze,650,false,Black
Asus ROG STRIX 1000G,179.99,ATX,gold,1000,Full,Black
SeaSonic FOCUS GX,182.82,ATX,gold,850,Full,Black
Asus TUF Gaming 850G,129,ATX,gold,850,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,119.99,ATX,gold,750,Full,Black
Gigabyte P450B,58.66,ATX,bronze,450,false,Black
Thermaltake Toughpower GF3 TT Premium,109.99,ATX,gold,850,Full,Black
MSI MEG Ai1300P PCIE5,299.99,ATX,platinum,1300,Full,Black / Copper
be quiet! Dark Power 13,189.9,ATX,titanium,850,Full,Black
Corsair HX1000i (2023),234.99,ATX,platinum,1000,Full,Black
Lian Li EDGE,164.99,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1600 T2,589.99,ATX,titanium,1600,Full,
be quiet! Dark Power Pro 13,369.9,ATX,titanium,1600,Full,Black
Corsair HX1200i,279.99,ATX,platinum,1200,Full,Black
Corsair RM750 (2019),199,ATX,gold,750,Full,Black
Cooler Master V850 SFX GOLD,229,SFX,gold,850,Full,Black
PowerSpec PS 650BF,57.98,ATX,bronze,650,false,Black
EVGA 700 GD,74.98,ATX,gold,700,false,Black
Asus TUF Gaming 1000G,158.99,ATX,gold,1000,Full,Black
EVGA 600 BR,64.99,ATX,bronze,600,false,
SeaSonic FOCUS PLUS 850 Gold,161.34,ATX,gold,850,Full,
be quiet! Straight Power 12,209.99,ATX,platinum,1200,Full,Black
Corsair RM1000x SHIFT,199.99,ATX,gold,1000,Full / Side,White
be quiet! Pure Power 11,105.1,ATX,gold,400,false,Black
Silverstone SFX,107.99,SFX,gold,500,Full,
Apevia Prestige,66.98,ATX,gold,800,false,Black
EVGA 850 BQ,84.23,ATX,bronze,850,Semi,
Corsair RM750x SHIFT,84.99,ATX,gold,750,Full / Side,Black
Asus ROG Strix Aura Edition,209.99,ATX,gold,1000,Full,White
EVGA 700 BR,64.98,ATX,bronze,700,false,
MSI MAG A650BE,69.99,ATX,bronze,650,Semi,Black
EVGA 650 N1,53.99,ATX,,650,false,
Corsair RM1200x SHIFT,209.79,ATX,gold,1200,Full / Side,Black
Gigabyte UD1000GM PG5 (rev. 2.0),129.99,ATX,gold,1000,Full,Black
Asus ROG LOKI,185.99,SFX,platinum,750,Full,Black / Silver
MSI MPG A750GF,100.83,ATX,gold,750,Full,Black
Azza PSAZ-550W,53.93,ATX,bronze,550,false,Black
Asus Prime AP-750G,109.99,ATX,gold,750,Full,White / Black
be quiet! Dark Power Pro 13,329.9,ATX,titanium,1300,Full,Black
