name,price,type,efficiency,wattage,modular,color
Cooler Master MWE Bronze V2,,ATX,bronze,450,false,Black
EVGA SuperNOVA 1000 G+,207.74,ATX,gold,1000,Full,Black
Thermaltake Toughpower SFX,126.22,SFX,platinum,750,Full,Black
SeaSonic PRIME PX-1600 ATX 3.0,497.15,ATX,platinum,1600,Full,Black / Silver
SeaSonic FOCUS GX,245,ATX,gold,550,Full,Black
SeaSonic PRIME TX,559.78,ATX,titanium,1300,Full,Black / Silver
Corsair RM650,204.99,ATX,gold,650,Full,Black
Corsair SF600 (2016),,SFX,gold,600,Full,Black
Thermaltake Toughpower GF1 ARGB,,ATX,gold,650,Full,
EVGA SuperNOVA 650 G+,129.99,ATX,gold,650,Full,Black
Deepcool PK750D,,ATX,bronze,750,false,Black
Cooler Master GX III GOLD,139.99,ATX,gold,750,Full,Black / Purple
NZXT C550,89.98,ATX,bronze,550,Semi,Black
Azza PSAZ-750W,74.98,ATX,bronze,750,false,Black
SeaSonic PRIME Titanium,599,ATX,titanium,1000,Full,
Super Flower Leadex Platinum SE,149.99,ATX,platinum,1000,Full,Black
Corsair RM750x White (2018),267.99,ATX,gold,750,Full,White / Black
be quiet! System Power 9,,ATX,bronze,600,false,Black
MSI MEG Ai1000P PCIE5,339.99,ATX,platinum,1000,Full,Black / Copper
Aerocool LUX RGB 750M (230V EU),193.43,ATX,bronze,750,Semi,Black
Super Flower Leadex VI Platinum PRO,179.99,ATX,platinum,850,Full,Black / Blue
ADATA XPG KYBER,76.99,ATX,gold,750,false,Black
Asus TUF Gaming B,66.2,ATX,bronze,550,false,Black
ADATA XPG PYLON,,ATX,bronze,550,false,Black
Cooler Master V SFX Gold ATX 3.0,,SFX,gold,750,Full,Black
Thermaltake Smart BM2,,ATX,bronze,650,Semi,Black
Super Flower LEADEX VII XG,203.99,ATX,gold,1300,Full,Black
Silverstone SST-TX300,74.98,TFX,bronze,300,false,Black
FSP Group Hydro GE,,ATX,gold,550,Full,
Cooler Master V650 V2,,ATX,gold,650,Full,White
Thermaltake Toughpower GF1 PE,107,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,149.99,ATX,gold,1050,Full,Black
Logisys PS480D,26.99,ATX,,480,false,
Corsair HX850i,396,ATX,platinum,850,Full,
EVGA 750 BQ,138.72,ATX,bronze,750,Semi,
Corsair AX1200,607.44,ATX,gold,1200,Full,
EVGA SuperNOVA 750 GM,,SFX,gold,750,Full,Black
GameMax RGB Rainbow,,ATX,gold,550,Full,Black
Corsair VS650 (2018),,ATX,plus,650,false,
MSI MPG A750GF WHITE,246,ATX,gold,750,Full,White
Rosewill CMG850,99.99,ATX,gold,850,Full,Black
Thermaltake TR2,,ATX,,500,false,
be quiet! Straight Power 11 850W,286.27,ATX,gold,850,Full,
Silverstone SX1000-LPT,257.07,SFX,platinum,1000,Full,Black
Super Flower Leadex V Platinum Pro,249.99,ATX,platinum,850,Full,White
Super Flower Leadex Platinum,350.59,ATX,platinum,1600,Full,Black
EVGA 500 BQ,,ATX,bronze,500,Semi,
EVGA SuperNOVA 550 G3,,ATX,gold,550,Full,
SHARKOON WPM Gold Zero 550,,ATX,gold,550,Semi,Black
Aerocool Integrator,,ATX,bronze,700,false,Black
Corsair CXM,156,ATX,bronze,750,Semi,
Thermaltake Toughpower iRGB PLUS TT Premium Edition,,ATX,titanium,1650,Full,Black
Corsair CX600M,,ATX,bronze,600,Semi,
SeaSonic FOCUS GX,212.56,ATX,gold,1000,Full,Black
Asus TUF Gaming 650B,,ATX,bronze,650,false,Black
Deepcool PF750 230V,,ATX,plus,750,false,Black
Fractal Design Ion+ 2 Platinum,386.52,ATX,platinum,760,Full,Black
be quiet! Pure Power 11,,ATX,gold,500,false,Black
Cooler Master MWE GOLD 650 V2 FULL MODULAR,,ATX,gold,650,Full,Black
Montech TITAN GOLD 1200W,168.55,ATX,gold,1200,Full,Black
SeaSonic B12 BC,,ATX,bronze,850,false,
Corsair HX1500i (2022),480,ATX,platinum,1500,Full,Black
Corsair RM850 (2019),192.54,ATX,gold,850,Full,Black
Corsair VS500 (2020),95,ATX,bronze,500,false,Black
GameMax GP,,ATX,bronze,550,false,Black
Phanteks Revolt SFX,199.99,SFX,platinum,850,Full,Black
EVGA SuperNOVA 750 GA,184.23,ATX,gold,750,Full,Black
Cooler Master G700,,ATX,gold,700,false,Black
Vida ATX-500W,,ATX,,500,false,Black
Corsair HX850 Platinum,,ATX,platinum,850,Full,
Cooler Master Elite V3,,ATX,plus,600,false,Black
Corsair TX750M Gold,249.05,ATX,gold,750,Semi,
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
ARESGAME AGK,,ATX,gold,850,Full,Black / Red
EVGA SuperNOVA 550 G2,,ATX,gold,550,Full,
FSP Group Hydro G PRO ATX3.0(PCIe5.0),,ATX,gold,850,Full,Black
Cooler Master V750 Gold V2,193.9,ATX,gold,750,Full,Black
EVGA SuperNOVA 850 GA,260.89,ATX,gold,850,Full,Black
Deepcool PN850M,,ATX,gold,850,Full,Black
Corsair VS450,,ATX,plus,450,false,
Silverstone SFX,95.38,SFX,bronze,450,false,Black
SeaSonic PRIME Fanless,390.78,ATX,titanium,700,Full,Black
EVGA SuperNOVA 650 GA,126.4,ATX,gold,650,Full,Black
SeaSonic VERTEX GX-850,184.98,ATX,gold,850,Full,Black / Silver
EVGA SuperNOVA 1200 P2,449.99,ATX,platinum,1200,Full,
KOLINK ENCLAVE,,ATX,gold,600,Full,Black
ADATA XPG Core Reactor II,119.99,ATX,gold,850,Full,White
Fractal Design Ion Gold,103.28,ATX,gold,550,Full,Black
EVGA SuperNOVA 1300 P+,239.99,ATX,platinum,1300,Full,Black
Silverstone TX500-G,125.22,TFX,gold,500,false,Black
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,750,Full,Black
Fractal Design Ion Gold,208.99,ATX,gold,850,Full,Black
Super Flower Leadex V Pro,299.99,ATX,platinum,1000,Full,White
Thermaltake TPD-0550M,,ATX,gold,550,Semi,
ADATA XPG CORE Reactor 750,,ATX,gold,750,Full,Black
EVGA 600 GQ,,ATX,gold,600,Semi,Black
be quiet! Pure Power 9 CM,199.2,ATX,bronze,600,Semi,Black
Asus ROG Strix Aura Edition,178.5,ATX,gold,850,Full,Black
Corsair CX500,299.73,ATX,bronze,500,false,
EVGA SuperNOVA 650 GM,199.99,SFX,gold,650,Full,Black
Montech CENTURY G5,112.99,ATX,gold,850,Full,Black
Corsair RM1000,295,ATX,gold,1000,Full,
ADATA XPG FUSION 1600,599.99,ATX,titanium,1600,Full,Black / Silver
Cooler Master MWE Bronze V2,,ATX,bronze,600,false,Black
Cooler Master MWE White V2 230V,,ATX,plus,750,false,Black / White
SeaSonic M12II,,ATX,bronze,620,Full,
Silverstone SX500-G,113.44,SFX,gold,500,Full,
Corsair HX1200i,446,ATX,platinum,1200,Full,
FSP Group HV PRO,,ATX,plus,650,false,Black
SeaSonic FOCUS,152.98,ATX,gold,850,Semi,Black
Corsair RM1000e (2022),217.99,ATX,gold,1000,Full,Black
Cooler Master G Gold 650 V2,,ATX,gold,650,false,Black
Montech TITAN GOLD 850W,,ATX,gold,850,Full,Black
Corsair RM750e (2022),144.99,ATX,gold,750,Full,Black
Enermax Revolution D.F. 12,129.99,ATX,gold,850,Full,White
SeaSonic Prime Fanless PX-500,225.84,ATX,platinum,500,Full,Black
GameMax RGB Rainbow,118.99,ATX,gold,750,Full,Black
Phanteks AMP GH,,ATX,platinum,1000,Full,White
SeaSonic PRIME,159.99,ATX,gold,850,Full,Black
Silverstone SFX,,SFX,bronze,300,false,
Thermaltake Litepower GEN2 230V,,ATX,,450,false,Black
Corsair RM850x (2018),269,ATX,gold,850,Full,White / Black
GameMax GX Pro Rampage,84.99,ATX,gold,850,Full,Black
Thermaltake Toughpower SFX,134.63,SFX,platinum,850,Full,Black
G.Skill MB750G,94.98,ATX,gold,750,Full,Black
SeaSonic PRIME TX-750,286.49,ATX,titanium,750,Full,Black
Cooler Master MWE Gold V2 ATX3.0,302.89,ATX,gold,1250,Full,Black
MSI MAG A600DN,,ATX,plus,600,false,Black
Corsair CX750F,,ATX,bronze,750,Full,White / Black
Silverstone SX-G,133.08,SFX,gold,700,Full,Black
Deepcool PF650 230V,,ATX,plus,650,false,Black
Antec NeoECO Gold,,ATX,gold,750,Full,
Silverstone DA750R-GMA,,ATX,gold,750,Full,White
Corsair RM850e (2022),165,ATX,gold,850,Full,Black
Aerocool Integrator Gold,,ATX,gold,850,Full,Black
PowerSpec PS 650BSM,,ATX,bronze,650,Semi,Black
KOLINK Classic Power,,ATX,bronze,700,false,Black / Red
Antec NE850G M ATX3.0,139.99,ATX,gold,850,Full,Black
MSI MAG A650BNL,,ATX,bronze,650,false,Black
EVGA SuperNOVA 1600 G2,649.99,ATX,gold,1600,Full,
Corsair HX750 Platinum,346,ATX,platinum,750,Full,
be quiet! System Power 9,,ATX,bronze,500,false,Black
Aerocool Integrator,,ATX,bronze,600,false,Black
Phanteks AMP GH,,ATX,platinum,1000,Full,Black
Deepcool PF350 230V,,ATX,plus,350,false,Black
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
SeaSonic FOCUS SPX (2021),,SFX,platinum,750,Full,Black
Deepcool PK700D,,ATX,bronze,700,false,Black
GameMax GX Pro Rampage,94.99,ATX,gold,850,Full,White
Enermax REVOLUTION D.F. 2,127.99,ATX,gold,1050,Full,Black
GAMDIAS KRATOS M1 B,59.99,ATX,bronze,750,false,Black
Cooler Master Elite V3,,ATX,,500,false,Black
GameMax GS,,SFX,bronze,300,false,Silver
SeaSonic B12 BC,,ATX,bronze,550,false,
ADATA XPG CYBERCORE,129.99,ATX,platinum,1000,Full,Black / Silver
Silverstone DA750R-GMA,,ATX,gold,750,Full,Black
Super Flower Leadex V Pro,249.99,ATX,gold,1000,Full,Black / Gold
Fractal Design Ion+ 2 Platinum,,ATX,platinum,660,Full,Black
Corsair CX750 (2017),212.95,ATX,bronze,750,false,
KOLINK Regulator,99.99,ATX,gold,750,Full,Black
Thermaltake Smart RGB 230V,149,ATX,plus,500,false,Black
be quiet! Dark Power Pro 12,,ATX,titanium,1200,Full,Black
Thermaltake Litepower,,ATX,,650,false,
Deepcool PM850D,,ATX,gold,850,false,Black
FSP Group HEXA 85+ PRO,,ATX,bronze,450,false,Black
Segotep GP,,ATX,gold,600,false,Black
KOLINK ENCLAVE,,ATX,gold,700,Full,Black
Cooler Master MasterWatt 550,,ATX,bronze,550,Semi,
SeaSonic VERTEX PX-850,339.92,ATX,platinum,850,Full,Black / Silver
SeaSonic PRIME PX-1300,,ATX,platinum,1300,Full,Black
Antec CSK,132.81,ATX,bronze,750,Semi,Black / Yellow
Corsair AX850,499.74,ATX,titanium,850,Full,Black / Silver
ENDORFY Vero L5,186.34,ATX,bronze,600,false,Black
FSP Group Hydro G Pro,303.62,ATX,gold,1000,Full,Black
Silverstone SFX,148.33,SFX,platinum,700,Full,
Fractal Design Ion+ 2 Platinum,,ATX,platinum,860,Full,Black
EVGA SuperNOVA 650 G6,99.99,ATX,gold,650,Full,Black
FSP Group FSP400-60FGGBA,99.99,Flex ATX,gold,400,false,
YEYIAN Raiden,,ATX,plus,500,false,Black
Thermaltake Toughpower PF3-L,197.99,ATX,platinum,1050,Full,Black
Enermax Revolution D.F. X,129.99,ATX,gold,1050,Full,Black
Cooler Master MWE White V2 230V,,ATX,plus,650,false,Black
SeaSonic FOCUS,,ATX,platinum,750,Full,Black
Deepcool PN750M,,ATX,gold,750,Full,Black
Silverstone TX700-G,176.04,TFX,gold,700,false,Black
EVGA 600 B1,129.99,ATX,bronze,600,false,
Gigabyte AORUS P1200W,,ATX,platinum,1200,Full,Black
Deepcool DQ750-M-V2L,,ATX,gold,750,Full,Black / Green
ADATA XPG CORE Reactor 650,,ATX,gold,650,Full,Black
EVGA SuperNOVA 650 P6,99.99,ATX,platinum,650,Full,Black / Silver
SeaSonic G12 GM,,ATX,gold,550,Semi,Black / Blue
Corsair RM750x White,299,ATX,gold,750,Full,White / Black
EVGA SuperNOVA 1300 G2,,ATX,gold,1300,Full,
Rosewill CMG1200G5,139.99,ATX,gold,1200,Full,Black
Corsair AX860,,ATX,platinum,860,Full,
Super Flower Leadex III Gold,125.99,ATX,gold,650,Full,Black
Silverstone Strider Titanium,361.99,ATX,titanium,1300,Full,Black / Blue
In Win IP-S200DF1-0,52.02,TFX,,200,false,
Antec CSK,122.17,ATX,bronze,650,false,Black / Yellow
Corsair AX760,375,ATX,platinum,760,Full,
GameMax GP,,ATX,bronze,650,false,Black
Enhance ENP-7660,,Flex ATX,platinum,600,false,Silver
GameMax RGB Pro,149.99,ATX,gold,1050,Full,White
Silverstone Essential,78.98,ATX,gold,550,false,Black / Yellow
Asus ROG Strix Aura Edition,149.99,ATX,gold,750,Full,Black
Thermaltake Toughpower Grand RGB,,ATX,gold,850,Full,
be quiet! Straight Power 11 1000W,299.39,ATX,gold,1000,Full,
Antec NE1300G M ATX3.0,194.99,ATX,gold,1300,Full,Black
Deepcool PK450D,,ATX,bronze,450,false,Black
Asus ROG Strix,,ATX,gold,650,Full,Black / Red
Corsair RM550x (2018),237.23,ATX,gold,550,Full,Black / Silver
Cooler Master XG850 Plus,135.77,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF1 Snow - TT Premium,134.98,ATX,gold,750,Full,White
Mars Gaming MPIII750,,ATX,,750,false,Black
EVGA SuperNOVA 1200 P3,241.02,ATX,platinum,1200,Full,Black / Silver
Thermaltake Toughpower GX1,,ATX,gold,600,false,Black
Rosewill CMG1000G5,119.99,ATX,gold,1000,Full,Black
Thermaltake Toughpower GF1 PE,126.39,ATX,gold,750,Full,Black
Silverstone DA850R-GMA,,ATX,gold,850,Full,White
Thermalright TG,,ATX,gold,650,Full,Black
Cougar VTE,74.04,ATX,bronze,600,false,Black
PC Power & Cooling Silencer,322.04,ATX,platinum,1200,Full,
Corsair TX550M,,ATX,gold,550,Semi,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,196.95,ATX,gold,1200,Full,Black
Corsair TX750,200,ATX,plus,750,false,
Corsair CS650M,,ATX,gold,650,Semi,
Gigabyte UD1300GM PG5,209.99,ATX,gold,1300,Full,Black
EVGA SuperNOVA 650 G1,215,ATX,gold,650,Full,
GameMax RGB Rainbow,129.99,ATX,gold,850,Full,Black
Segotep GM,,ATX,gold,850,Full,Black
Deepcool PF700 230V,,ATX,plus,700,false,Black
Corsair CX650F,,ATX,bronze,650,Full,White / Black
be quiet! System Power 9 700 CM,230.37,ATX,bronze,700,Semi,Black
Corsair HX750i,436.74,ATX,platinum,750,Full,
ADATA XPG KYBER,129.99,ATX,gold,850,false,Black
Gigabyte AORUS P GM,143.88,ATX,gold,750,Full,Black / Silver
EVGA SuperNOVA NEX650G Gold,,ATX,gold,650,Full,
Cooler Master GXII,,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 G3,389.99,ATX,gold,1000,Full,
SHARKOON SilentStorm Cool Zero 750,129.22,ATX,gold,750,Full,Black
Thermaltake Smart RGB,,ATX,plus,700,false,
EVGA SuperNOVA 550 GS,,ATX,gold,550,Full,
EVGA GE,,ATX,gold,800,false,Black
Thermaltake Toughpower GF A3 - TT Premium Edition,,ATX,gold,1200,Full,Black
Thermaltake Toughpower PF3-L,229.95,ATX,platinum,1200,Full,Black
Thermalright TG,,ATX,gold,750,Full,Black
Thermaltake TR2,63.97,ATX,,600,false,
Corsair SF450 (2016),216.84,SFX,gold,450,Full,Black
Fractal Design Ion SFX 650G,,SFX,gold,650,Full,Black
Corsair Vengeance 750M,,ATX,silver,750,Semi,
SeaSonic VERTEX GX-750,149.99,ATX,gold,750,Full,Black / Silver
NZXT C750,,ATX,bronze,750,Semi,Black
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,750,Full,White
Deepcool PQ850M,,ATX,gold,850,Full,Black
Apevia Spirit,,ATX,,600,false,
Xilence XP400R6,101.29,ATX,,400,false,Black / Red
Cooler Master G Gold 750 V2,,ATX,gold,750,false,Black
Thermaltake Toughpower GF2 ARGB,86.01,ATX,gold,650,Full,Black
Corsair TX850M Gold,459.75,ATX,gold,850,Semi,
Deepcool PX1200G,,ATX,gold,1200,Full,Black
NZXT C650,99.98,ATX,bronze,650,Semi,Black
EVGA 500 B1,,ATX,bronze,500,false,
Corsair VS650,,ATX,,650,false,
Thermaltake Toughpower PF3,,ATX,platinum,850,Full,Black
Thermaltake Toughpower GF A3 ATX 3.0,,ATX,gold,1050,Full,Black
Corsair RM650,221.07,ATX,gold,650,Full,
Deepcool PL650D,,ATX,bronze,650,false,Black
Silverstone DA850R-GMA,,ATX,gold,850,Full,Black
SeaSonic PRIME PX,450,ATX,platinum,1000,Full,Black / Silver
EVGA SuperNOVA 850 P2,,ATX,platinum,850,Full,
FSP Group Hydro Pro,,ATX,bronze,800,false,Black
Antec CSK,110.62,ATX,bronze,550,false,Black / Yellow
In Win P85FII,,ATX,gold,850,false,Black / Yellow
FSP Group Hydro GE,79.98,ATX,gold,650,Full,
SHARKOON SilentStorm,168.43,SFX,gold,500,Full,Black
EVGA 450 BT,,ATX,bronze,450,false,
Gigabyte P650SS,,ATX,silver,650,false,Black
KOLINK Regulator,99.99,ATX,gold,850,Full,Black
Corsair CX450 (2017),113.74,ATX,bronze,450,false,
Corsair CX430,,ATX,bronze,430,false,
Thermaltake Toughpower SFX,169.99,SFX,gold,1000,Full,Black
SeaSonic PRIME Ultra Titanium,,ATX,titanium,750,Full,
Gigabyte AORUS P GM,,ATX,gold,850,Full,Black / Silver
iTek GF EVO,,ATX,gold,650,Full,Black
Corsair RM650x,198,ATX,gold,650,Full,
SeaSonic CORE GM,,ATX,gold,650,Semi,Black
Thermaltake Toughpower GX1 RGB,,ATX,gold,700,false,Black
SeaSonic VERTEX PX-750,199.99,ATX,platinum,750,Full,Black / Silver
Corsair HX1000i (2022),259.99,ATX,platinum,1000,Full,Black
Cooler Master MWE Bronze 550 V3 230V,,ATX,bronze,550,false,Black
Thermalright TPFX650,,SFX,platinum,650,Full,Black
EVGA SuperNOVA 1000 P5,209.99,ATX,platinum,1000,Full,Blue / Black
Corsair CX550F,189.79,ATX,bronze,550,Full,White / Black
MSI MAG A500DN,,ATX,plus,500,false,Black
Thermaltake Toughpower GF1 ARGB,124.98,ATX,gold,750,Full,
Thermalright TG,,ATX,gold,650,Full,White
EVGA 550 B5,150.1,ATX,bronze,550,Full,Black
SeaSonic SSP-300SUG,83.99,Flex ATX,gold,300,false,
Thermaltake Toughpower,109.99,ATX,gold,750,Semi,
Cooler Master MasterWatt,,ATX,bronze,650,Semi,
be quiet! Pure Power 11,,ATX,gold,600,false,Black
ARESGAME AGT,,ATX,gold,1000,Full,Black
Silverstone TX300,68.98,TFX,bronze,300,false,Black
KOLINK Core,,ATX,plus,600,false,Black
Razer Katana Chroma,367.87,ATX,platinum,1200,Full,Black
Corsair TX650,255,ATX,plus,650,false,
EVGA 430 W1,,ATX,plus,430,false,
Thermaltake Toughpower,,ATX,gold,650,Semi,
Montech CENTURY G5,101.48,ATX,gold,750,Full,Black
Cooler Master MWE Bronze 650 V3 230V,,ATX,bronze,650,false,Black
Cooler Master MWE Bronze 750 V3 230V,,ATX,bronze,750,false,Black
SeaSonic M12II EVO,,ATX,bronze,520,Full,Black
Thermaltake Smart Pro RGB,,ATX,bronze,850,Full,
Cooler Master V650 Gold V2,,ATX,gold,650,Full,Black
Thermaltake Litepower,,ATX,,550,false,
be quiet! Straight Power 11 650W,,ATX,gold,650,Full,
"FSP Group Hydro PTM X PRO,Gen5",165.45,ATX,platinum,850,Full,Black
Cougar BXM750,99.99,ATX,bronze,750,Semi,Orange / Black
Enermax Revolution D.F. 12,129.99,ATX,gold,750,Full,Black
EVGA SuperNOVA 1000 T2,,ATX,titanium,1000,Full,
be quiet! Dark Power Pro 12,,ATX,titanium,1500,Full,Black
Silverstone SX1000R-PL,260.5,SFX,platinum,1000,Full,Black / White
Thermaltake Toughpower Grand RGB,162.93,ATX,gold,750,Full,
GAMDIAS KRATOS M1 B,,ATX,bronze,600,false,Black
Corsair RM750i,,ATX,gold,750,Full,
Aerocool Integrator Gold,,ATX,gold,1000,Full,Black
GAMDIAS KRATOS M1 B,,ATX,bronze,550,false,Black
Cougar POLAR,249.99,ATX,platinum,1200,Full,White
Thermaltake Toughpower PF3,,ATX,platinum,1050,Full,Black
Thermaltake Toughpower GX1,91.82,ATX,gold,600,Semi,Black
Xilence XP750R6.2,,ATX,plus,750,false,Black
Corsair HX850,,ATX,platinum,850,Full,Black
Silverstone SX750-PT,,SFX,platinum,750,Full,Black
Deepcool PF450 230V,,ATX,plus,450,false,Black
SeaSonic Platinum,,ATX,platinum,400,Full,
Corsair CX850M,,ATX,bronze,850,Semi,
Cooler Master MWE Gold 750,,ATX,gold,750,Full,Black
Thermaltake Toughpower PF3-L,119.99,ATX,platinum,850,Full,Black
Thermaltake Toughpower PF1 - TT Premium Edition,224.99,ATX,platinum,750,Full,Black
GameMax GM,,ATX,bronze,800,Semi,Black
Cooler Master V850 Gold V2,201.29,ATX,gold,850,Full,Black
GameMax VP,,ATX,bronze,600,false,Black
SHARKOON SilentStorm Cool Zero 650,115.82,ATX,gold,650,Full,Black
Cooler Master G500,,ATX,gold,500,false,Black
EVGA SuperNOVA 650 GS,,ATX,gold,650,Full,
Segotep GM,,ATX,gold,850,Full,White
Thermaltake Toughpower PF1 - TT Premium Edition,,ATX,platinum,850,Full,Black
EVGA GE,79.98,ATX,gold,600,false,Black
SeaSonic FOCUS SGX,,SFX,gold,500,Full,Black
FSP Group Hydro Pro,,ATX,bronze,700,false,Black
FSP Group HEXA 85+ PRO,,ATX,bronze,650,false,Black
FSP Group FSP300-60LG,113.59,Mini ITX,bronze,300,false,
SeaSonic FOCUS Plus 550 Gold,,ATX,gold,550,Full,
Cooler Master X Mighty 2000 230V,,ATX,platinum,2000,Full,
Chieftec GPS-700A8,,ATX,bronze,700,false,Black / White
Cooler Master V750 V2,,ATX,gold,750,Full,White
KOLINK Modular Power,,ATX,bronze,700,Semi,Black
Cooler Master MWE White V2 230V,,ATX,bronze,550,false,Black / White
FSP Group VITA-850GM,,ATX,gold,850,Full,Black
Xilence XP600R6,99.36,ATX,,600,false,Black / Red
Cooler Master MWE Bronze,,ATX,bronze,500,false,Black
Thermalright TG,,ATX,gold,1000,Full,White
EVGA SuperNOVA 750 P5,,ATX,platinum,750,Full,Black / Teal
Deepcool PF400 230V,,ATX,plus,400,false,Black
SeaSonic S12II,224.13,ATX,bronze,520,false,
Inter-Tech Argus APS,,ATX,,720,false,Black / Orange
Corsair GS800,,ATX,bronze,800,false,
Fractal Design Ion+ 560P,,ATX,platinum,560,Full,Black
SeaSonic VERTEX GX,,ATX,gold,1000,Full,White
EVGA SuperNOVA 750 P2,249.99,ATX,platinum,750,Full,
Thermaltake Smart SE,159,ATX,,530,Semi,Black
YEYIAN Raiden,,ATX,bronze,650,false,Black
Super Flower LEADEX VII Platinum PRO,269.99,ATX,platinum,1200,Full,Black
Antec NE1000G M White ATX 3.0,179.99,ATX,gold,1000,Full,White
Antec NE1000G M ATX3.0,175.87,ATX,gold,1000,Full,Black
Asus ROG Strix,,ATX,gold,550,Full,Black / Red
Chieftec GPS-600A8,,ATX,plus,600,false,
"FSP Group Hydro PTM X PRO,Gen5",170,ATX,platinum,1000,Full,Black
Super Flower LEADEX VII XG,179.99,ATX,gold,1000,Full,White
Gigabyte UD1000GM PG5,231.99,ATX,gold,1000,Full,Black
Deepcool PQ750M,,ATX,gold,750,Full,Black
SeaSonic S12III,109,ATX,bronze,550,false,Black
Cooler Master V550 V2,,ATX,gold,550,Full,White
FSP Group Hydro K Pro ATX3.0,,ATX,bronze,750,false,Black
ENDORFY Supremo FM5,253.81,ATX,gold,750,Full,Black
Deepcool PX1000G WH,,ATX,gold,1000,Full,White
ADATA XPG CYBERCORE,169.99,ATX,platinum,1300,Full,Black / Silver
SeaSonic PRIME PX,,ATX,platinum,1600,Full,Black / Silver
EVGA 700 BQ,111.98,ATX,bronze,700,Semi,Black
Fractal Design Ion SFX 500G,,SFX,gold,500,Full,Black
GameMax RGB Rainbow,,ATX,gold,1050,Full,Black
ADATA XPG Core Reactor II VE,,ATX,gold,750,Full,
ADATA XPG Core Reactor II VE,,ATX,gold,850,Full,
Antec NeoECO Gold,198.93,ATX,gold,850,Full,
ENDORFY Vero L5,,ATX,bronze,700,false,Black
Thermaltake Smart RGB 230V,123.78,ATX,plus,600,false,Black
Mars Gaming MPII650,,ATX,,650,false,Black / Red
Silverstone Strider Platinum S,214.99,ATX,platinum,1000,Full,Black
Thermaltake Toughpower GF1 PE,,ATX,gold,650,Full,
Phanteks Revolt X,,ATX,platinum,1200,Full,Black / Silver
be quiet! Dark Power 12,,ATX,titanium,1000,Full,Black
GameMax RGB,268.99,ATX,platinum,1300,Full,Black
Deepcool PL750D,,ATX,bronze,750,false,Black
FSP Group HEXA 85+ PRO,,ATX,bronze,550,false,Black
Super Flower Leadex Platinum,199.99,ATX,platinum,850,Full,Black
FSP Group VITA-750GM,,ATX,gold,750,Full,Black
Corsair RM550,214.99,ATX,gold,550,Full,
SeaSonic M12II,,ATX,bronze,620,false,
Cougar VTX,,ATX,bronze,500,false,Black
Corsair Vengeance 650M,,ATX,silver,650,Semi,Black
PowerSpec GFM,,ATX,gold,750,Full,Black
NOX Hummer GD,,ATX,gold,750,false,
be quiet! Pure Power 11 FM 750,,ATX,gold,750,Full,Black
Thermaltake Toughpower PF3,,ATX,platinum,1200,Full,Black
Silverstone DA1000R,,ATX,gold,1000,Full,Black
Corsair CS550M,,ATX,gold,550,Semi,
Razer Katana Chroma,297.39,ATX,platinum,850,Full,Black
Cooler Master MasterWatt,99.99,ATX,bronze,750,Semi,Black
Enermax Revolution D.F. 12,129.99,ATX,gold,850,Full,Black
Corsair HX750,273.79,ATX,gold,750,Semi,
EVGA SuperNOVA 650 G7,109.99,ATX,gold,650,Full,Black / Blue
SeaSonic PRIME 1300 Gold,,ATX,gold,1300,Full,Black
Corsair CS750M,216.99,ATX,gold,750,Semi,
Zalman ZM-600-GT,,ATX,bronze,600,Semi,
Corsair VS450,,ATX,,450,false,
Sparkle FSP300-60ATV,59.99,ATX,,300,false,
EVGA SuperNOVA 750 G+,179,ATX,gold,750,Full,Black
Gigabyte B700H,,ATX,bronze,700,Semi,Black
EVGA SuperNOVA 1000 G2,,ATX,gold,1000,Full,
PowerSpec PSX 850GFM,,ATX,gold,850,Full,Black
iTek GF750 EVO,,ATX,gold,750,Full,Black / Red
be quiet! Straight Power 11,,ATX,platinum,1200,Full,Black
Silverstone Strider,,ATX,plus,500,false,
Phanteks AMP,,ATX,gold,750,Full,Black
EVGA SuperNOVA NEX750B,,ATX,bronze,750,Semi,
ADATA XPG Core Reactor II,159.99,ATX,gold,1200,Full,Black
EVGA SuperNOVA G FTW,119.99,ATX,gold,850,Full,Black
Cooler Master MWE Gold V2 ATX3.0,,ATX,gold,850,Full,White
Enermax Revolution D.F. X,149.99,ATX,gold,1200,Full,Black
Silverstone Extreme 850R Platinum,200.66,SFX,,850,Full,Black
NZXT C (2019),99.99,ATX,gold,650,Full,Black
Gigabyte P1000GM,,ATX,gold,1000,Full,Black
EVGA N1,74.42,ATX,,550,false,
Cooler Master V850 V2,,ATX,gold,850,Full,White
Corsair RM850i,,ATX,gold,850,Full,
KOLINK Core,,ATX,plus,700,false,Black
Cooler Master V1300 Platinum,402.9,ATX,platinum,1300,Full,Black
SeaSonic Prime Fanless PX-450,,ATX,platinum,450,Full,Black
Silverstone DA1650 Gold,,ATX,gold,1650,Full,Black / White
SeaSonic PRIME SNOWSILENT,,ATX,titanium,750,Full,White
